trialCt,rt,pos_x,pos_y
0,0.020024,-0.018750,-0.788889
0,0.040047,-0.018750,-0.788889
0,0.060067,-0.018750,-0.777778
0,0.080096,-0.018750,-0.744444
0,0.100122,-0.020000,-0.713333
0,0.120150,-0.026250,-0.666667
0,0.140180,-0.032500,-0.622222
0,0.160203,-0.043750,-0.551111
0,0.180227,-0.055000,-0.482222
0,0.200252,-0.067500,-0.391111
0,0.220280,-0.076250,-0.328889
0,0.240308,-0.085000,-0.226667
0,0.260328,-0.085000,-0.148889
0,0.280354,-0.085000,-0.011111
0,0.300396,-0.085000,0.068889
0,0.320423,-0.085000,0.164444
0,0.340489,-0.092500,0.253333
0,0.360513,-0.096250,0.300000
0,0.380538,-0.098750,0.315556
0,0.400559,-0.098750,0.315556
0,0.420583,-0.061250,0.275556
0,0.440602,-0.018750,0.240000
0,0.460630,0.011250,0.226667
0,0.480654,0.018750,0.226667
0,0.500675,0.028750,0.246667
0,0.520703,0.040000,0.277778
0,0.540739,0.062500,0.331111
0,0.560771,0.080000,0.355556
0,0.580809,0.090000,0.371111
0,0.600831,0.093750,0.375556
0,0.620861,0.101250,0.380000
0,0.640891,0.103750,0.380000
0,0.660915,0.117500,0.395556
0,0.680951,0.131250,0.408889
0,0.700975,0.152500,0.431111
0,0.721001,0.165000,0.442222
0,0.741034,0.175000,0.451111
0,0.761058,0.177500,0.455556
0,0.781091,0.187500,0.457778
0,0.801121,0.210000,0.464444
0,0.821153,0.245000,0.484444
0,0.841187,0.261250,0.493333
0,0.861207,0.275000,0.504444
0,0.881228,0.287500,0.506667
0,0.901250,0.311250,0.511111
0,0.921272,0.323750,0.515556
0,0.941291,0.335000,0.520000
0,0.961312,0.335000,0.522222
0,0.981335,0.336250,0.522222
0,1.001354,0.336250,0.522222
0,1.021382,0.336250,0.522222
0,1.041402,0.335000,0.517778
1,0.020035,-0.031250,-0.648889
1,0.040065,-0.052500,-0.548889
1,0.060095,-0.063750,-0.468889
1,0.080126,-0.081250,-0.317778
1,0.100151,-0.097500,-0.191111
1,0.120176,-0.118750,-0.020000
1,0.140205,-0.121250,0.042222
1,0.160234,-0.121250,0.117778
1,0.180254,-0.121250,0.164444
1,0.200285,-0.126250,0.235556
1,0.220313,-0.128750,0.280000
1,0.240337,-0.132500,0.348889
1,0.260367,-0.135000,0.384444
1,0.280388,-0.137500,0.440000
1,0.300410,-0.146250,0.482222
1,0.320429,-0.171250,0.535556
1,0.340458,-0.190000,0.560000
1,0.360488,-0.216250,0.573333
1,0.380509,-0.231250,0.577778
1,0.400534,-0.248750,0.577778
1,0.420556,-0.257500,0.577778
1,0.440574,-0.270000,0.566667
1,0.460599,-0.281250,0.546667
1,0.480621,-0.292500,0.522222
1,0.500652,-0.297500,0.513333
1,0.520674,-0.300000,0.500000
1,0.540699,-0.300000,0.495556
1,0.560722,-0.300000,0.493333
1,0.580743,-0.300000,0.493333
1,0.600768,-0.295000,0.488889
1,0.620796,-0.290000,0.488889
1,0.640817,-0.272500,0.488889
1,0.660850,-0.256250,0.488889
1,0.680869,-0.226250,0.488889
1,0.700892,-0.210000,0.488889
1,0.720921,-0.200000,0.488889
1,0.740950,-0.198750,0.491111
