trialCt,rt,pos_x,pos_y
0,0.020024,-0.003750,-0.777778
0,0.040046,-0.003750,-0.777778
0,0.060063,-0.003750,-0.777778
0,0.080089,-0.003750,-0.777778
0,0.100117,-0.003750,-0.777778
0,0.120157,-0.003750,-0.777778
0,0.140188,-0.003750,-0.777778
0,0.160217,-0.003750,-0.777778
0,0.180241,-0.003750,-0.777778
0,0.200261,-0.003750,-0.777778
0,0.220277,-0.003750,-0.777778
0,0.240302,-0.003750,-0.777778
0,0.260326,-0.003750,-0.775556
0,0.280352,0.001250,-0.751111
0,0.300378,0.007500,-0.724444
0,0.320403,0.023750,-0.660000
0,0.340428,0.031250,-0.615556
0,0.360451,0.052500,-0.540000
0,0.380478,0.068750,-0.484444
0,0.400507,0.096250,-0.397778
0,0.420534,0.117500,-0.326667
0,0.440559,0.163750,-0.180000
0,0.460628,0.193750,-0.075556
0,0.480658,0.248750,0.084444
0,0.500692,0.298750,0.235556
0,0.520716,0.321250,0.317778
0,0.540739,0.352500,0.406667
0,0.560768,0.365000,0.451111
0,0.580794,0.382500,0.511111
0,0.600820,0.395000,0.540000
0,0.620843,0.407500,0.577778
0,0.640864,0.413750,0.591111
0,0.660885,0.417500,0.602222
0,0.680911,0.418750,0.602222
0,0.700932,0.418750,0.602222
0,0.720958,0.418750,0.602222
0,0.740985,0.418750,0.593333
0,0.761011,0.415000,0.577778
0,0.781039,0.405000,0.546667
0,0.801061,0.392500,0.520000
0,0.821082,0.371250,0.480000
0,0.841106,0.358750,0.455556
0,0.861126,0.341250,0.435556
0,0.881146,0.333750,0.433333
0,0.901166,0.328750,0.433333
0,0.921188,0.326250,0.435556
0,0.941209,0.320000,0.451111
0,0.961234,0.307500,0.471111
0,0.981254,0.287500,0.495556
0,1.001277,0.278750,0.500000
0,1.021295,0.276250,0.500000
0,1.041313,0.276250,0.500000
0,1.061340,0.276250,0.504444
0,1.081375,0.277500,0.504444
0,1.101424,0.278750,0.506667
0,1.121462,0.278750,0.506667
0,1.141504,0.278750,0.506667
0,1.161542,0.278750,0.506667
0,1.181559,0.278750,0.506667
0,1.201664,0.278750,0.506667
