trialCt,rt,pos_x,pos_y
0,0.020033,-0.020000,-0.828889
0,0.020026,0.108750,-0.493333
0,0.040050,0.126250,-0.446667
0,0.060069,0.157500,-0.357778
0,0.080100,0.177500,-0.282222
0,0.100122,0.197500,-0.193333
0,0.120148,0.207500,-0.135556
0,0.140171,0.225000,-0.057778
0,0.160199,0.227500,-0.008889
0,0.180217,0.230000,0.057778
0,0.200240,0.230000,0.093333
0,0.220262,0.228750,0.137778
0,0.240282,0.227500,0.162222
0,0.260312,0.228750,0.195556
0,0.280355,0.231250,0.208889
0,0.300376,0.237500,0.228889
0,0.320723,0.246250,0.251111
0,0.340751,0.255000,0.271111
0,0.360777,0.272500,0.300000
0,0.380794,0.285000,0.326667
0,0.400819,0.302500,0.357778
0,0.420847,0.311250,0.377778
0,0.440867,0.321250,0.400000
0,0.460900,0.323750,0.413333
0,0.480930,0.330000,0.437778
0,0.500950,0.331250,0.453333
0,0.520982,0.337500,0.477778
0,0.541010,0.341250,0.495556
0,0.561040,0.343750,0.513333
0,0.581060,0.346250,0.524444
0,0.601088,0.346250,0.531111
0,0.621105,0.346250,0.531111
0,0.641131,0.346250,0.531111
0,0.661150,0.346250,0.531111
0,0.681181,0.343750,0.526667
0,0.701210,0.340000,0.524444
0,0.721241,0.335000,0.520000
0,0.741270,0.330000,0.515556
0,0.761292,0.322500,0.506667
0,0.781315,0.317500,0.500000
0,0.801344,0.310000,0.493333
0,0.821367,0.305000,0.491111
0,0.841391,0.303750,0.491111
0,0.861411,0.303750,0.491111
0,0.881432,0.303750,0.491111
0,0.901449,0.303750,0.491111
0,0.921475,0.302500,0.491111
0,0.941498,0.302500,0.491111
0,0.961515,0.302500,0.491111
0,0.981539,0.302500,0.491111
0,1.001555,0.302500,0.491111
0,1.021577,0.302500,0.491111
0,1.041593,0.302500,0.491111
0,1.061610,0.302500,0.491111
0,1.081634,0.302500,0.491111
0,1.101654,0.302500,0.491111
0,1.121676,0.302500,0.491111
0,1.141700,0.302500,0.491111
0,1.161721,0.302500,0.491111
0,1.181738,0.302500,0.491111
0,1.201758,0.302500,0.491111
0,1.221773,0.302500,0.491111
0,1.241790,0.302500,0.491111
0,1.261811,0.302500,0.491111
0,1.281837,0.302500,0.491111
0,1.301861,0.302500,0.491111
0,1.321882,0.302500,0.491111
0,1.341901,0.302500,0.491111
0,1.361932,0.302500,0.491111
0,1.381962,0.302500,0.491111
0,1.401987,0.302500,0.491111
0,1.422010,0.302500,0.491111
0,1.442033,0.302500,0.491111
0,1.462050,0.302500,0.491111
0,1.482077,0.302500,0.491111
0,1.502096,0.302500,0.491111
0,1.522111,0.302500,0.491111
0,1.542136,0.302500,0.491111
0,1.562175,0.302500,0.491111
0,1.582201,0.302500,0.491111
0,1.602229,0.302500,0.491111
0,1.622250,0.302500,0.491111
0,1.642266,0.302500,0.491111
0,1.662288,0.302500,0.491111
0,1.682311,0.302500,0.491111
0,1.702333,0.302500,0.491111
0,1.722350,0.302500,0.491111
0,1.742373,0.302500,0.491111
0,1.762391,0.302500,0.491111
0,1.782414,0.302500,0.491111
0,1.802440,0.302500,0.491111
0,1.822456,0.302500,0.491111
0,1.842476,0.302500,0.491111
0,1.862498,0.302500,0.491111
0,1.882517,0.302500,0.491111
0,1.902537,0.302500,0.491111
0,1.922563,0.302500,0.491111
0,1.942587,0.302500,0.491111
0,1.962611,0.302500,0.491111
0,1.982627,0.302500,0.491111
0,2.002642,0.302500,0.491111
0,2.022664,0.302500,0.491111
0,2.042686,0.302500,0.491111
0,2.062701,0.302500,0.491111
0,2.082719,0.302500,0.491111
0,2.102742,0.302500,0.491111
0,2.122765,0.302500,0.491111
0,2.142784,0.302500,0.491111
0,2.162798,0.302500,0.491111
0,2.182816,0.302500,0.491111
0,2.202838,0.302500,0.491111
1,0.020040,0.005000,-0.811111
1,0.040064,0.005000,-0.811111
1,0.060086,0.005000,-0.811111
1,0.080103,0.005000,-0.811111
1,0.100130,0.005000,-0.811111
1,0.120149,0.005000,-0.811111
1,0.140172,0.005000,-0.811111
1,0.160192,0.003750,-0.808889
1,0.180225,0.002500,-0.808889
1,0.200254,0.000000,-0.804444
1,0.220279,-0.002500,-0.802222
1,0.240309,-0.005000,-0.795556
1,0.260340,-0.008750,-0.786667
1,0.280367,-0.016250,-0.773333
1,0.300387,-0.022500,-0.760000
1,0.320408,-0.036250,-0.735556
1,0.340435,-0.046250,-0.715556
1,0.360461,-0.066250,-0.691111
1,0.380484,-0.086250,-0.668889
1,0.400510,-0.118750,-0.613333
1,0.420535,-0.133750,-0.564444
1,0.440564,-0.137500,-0.495556
1,0.460588,-0.137500,-0.448889
1,0.480610,-0.131250,-0.368889
1,0.500634,-0.121250,-0.317778
1,0.520657,-0.120000,-0.235556
1,0.540684,-0.120000,-0.175556
1,0.560710,-0.137500,-0.093333
1,0.580735,-0.151250,-0.048889
1,0.600756,-0.170000,0.015556
1,0.620783,-0.178750,0.055556
1,0.640808,-0.196250,0.122222
1,0.660833,-0.206250,0.164444
1,0.680852,-0.228750,0.220000
1,0.700874,-0.242500,0.251111
1,0.720895,-0.257500,0.297778
1,0.740924,-0.262500,0.326667
1,0.760954,-0.266250,0.360000
1,0.780983,-0.266250,0.373333
1,0.801009,-0.263750,0.400000
1,0.821028,-0.255000,0.417778
1,0.841054,-0.233750,0.440000
1,0.861082,-0.206250,0.455556
1,0.881110,-0.116250,0.464444
1,0.901137,-0.032500,0.464444
1,0.921154,0.123750,0.468889
1,0.941177,0.232500,0.471111
1,0.961200,0.357500,0.471111
1,0.981219,0.406250,0.471111
1,1.001239,0.438750,0.471111
1,1.021265,0.441250,0.471111
1,1.041286,0.441250,0.471111
1,1.061312,0.441250,0.471111
1,1.081330,0.441250,0.471111
1,1.101359,0.440000,0.471111
1,1.121384,0.436250,0.471111
1,1.141404,0.432500,0.468889
1,1.161427,0.421250,0.464444
1,1.181447,0.412500,0.464444
1,1.201470,0.393750,0.464444
1,1.221488,0.378750,0.464444
1,1.241513,0.355000,0.466667
1,1.261541,0.345000,0.468889
1,1.281590,0.333750,0.473333
1,1.301610,0.332500,0.473333
1,1.321638,0.332500,0.475556
1,1.341659,0.332500,0.477778
1,1.361684,0.332500,0.477778
1,1.381706,0.332500,0.477778
1,1.401731,0.332500,0.480000
1,1.421755,0.332500,0.480000
1,1.441774,0.332500,0.480000
1,1.461796,0.332500,0.480000
1,1.481813,0.332500,0.480000
1,1.501835,0.332500,0.480000
1,1.521857,0.330000,0.480000
1,1.541882,0.328750,0.480000
1,1.561902,0.325000,0.484444
1,1.581925,0.323750,0.484444
1,1.601947,0.323750,0.486667
1,1.621966,0.323750,0.486667
1,1.641985,0.323750,0.486667
1,1.662009,0.323750,0.486667
1,1.682039,0.323750,0.486667
1,1.702062,0.323750,0.486667
1,1.722085,0.322500,0.486667
1,1.742115,0.322500,0.486667
1,1.762143,0.320000,0.486667
1,1.782171,0.316250,0.488889
1,1.802198,0.300000,0.488889
1,1.822225,0.277500,0.488889
1,1.842250,0.228750,0.488889
1,1.862275,0.181250,0.488889
1,1.882296,0.070000,0.488889
1,1.902325,0.000000,0.488889
1,1.922347,-0.067500,0.491111
1,1.942371,-0.086250,0.491111
1,1.962393,-0.091250,0.491111
1,1.982410,-0.091250,0.491111
1,2.002429,-0.091250,0.491111
1,2.022454,-0.091250,0.491111
1,2.042483,-0.091250,0.491111
1,2.062512,-0.091250,0.491111
1,2.082533,-0.090000,0.491111
1,2.102562,-0.090000,0.491111
1,2.122589,-0.090000,0.491111
1,2.142611,-0.091250,0.488889
1,2.162633,-0.100000,0.484444
1,2.182652,-0.111250,0.482222
1,2.202672,-0.125000,0.482222
1,2.222692,-0.125000,0.482222
1,2.242711,-0.125000,0.480000
1,2.262739,-0.117500,0.477778
1,2.282767,-0.072500,0.473333
1,2.302798,-0.003750,0.473333
1,2.322815,0.136250,0.468889
1,2.342841,0.245000,0.464444
1,2.362861,0.353750,0.462222
1,2.382881,0.390000,0.462222
1,2.402910,0.405000,0.457778
1,2.422939,0.405000,0.457778
1,2.442965,0.402500,0.457778
1,2.463028,0.396250,0.460000
1,2.483049,0.388750,0.460000
1,2.503070,0.382500,0.460000
1,2.523102,0.367500,0.460000
1,2.543135,0.350000,0.462222
1,2.563169,0.318750,0.462222
1,2.583298,0.293750,0.464444
1,2.603317,0.267500,0.468889
1,2.623346,0.260000,0.468889
1,2.643365,0.260000,0.468889
1,2.663469,0.260000,0.468889
1,2.683488,0.260000,0.471111
1,2.703507,0.260000,0.471111
1,2.723528,0.260000,0.471111
1,2.743554,0.260000,0.471111
1,2.763577,0.260000,0.471111
1,2.783602,0.260000,0.471111
1,2.803624,0.260000,0.471111
1,2.823657,0.260000,0.471111
1,0.020029,-0.246250,0.462222
1,0.040055,-0.298750,0.464444
1,0.060080,-0.328750,0.464444
1,0.080112,-0.362500,0.468889
1,0.100140,-0.367500,0.468889
1,0.120162,-0.367500,0.468889
1,0.140189,-0.361250,0.468889
1,0.160219,-0.355000,0.468889
1,0.180247,-0.352500,0.468889
1,0.200272,-0.350000,0.468889
1,0.220290,-0.350000,0.468889
1,0.240311,-0.350000,0.468889
1,0.260369,-0.348750,0.468889
1,0.280404,-0.346250,0.471111
1,0.300439,-0.337500,0.473333
1,0.320460,-0.331250,0.475556
1,0.340481,-0.320000,0.477778
1,0.360719,-0.317500,0.480000
1,0.380750,-0.317500,0.480000
1,0.400770,-0.317500,0.480000
1,0.420802,-0.317500,0.480000
1,0.440825,-0.317500,0.480000
1,0.460842,-0.317500,0.480000
1,0.480866,-0.317500,0.480000
2,0.020028,-0.010000,-0.817778
2,0.040052,-0.010000,-0.817778
2,0.060072,-0.010000,-0.817778
2,0.080106,-0.010000,-0.817778
2,0.100136,-0.010000,-0.817778
2,0.120173,-0.010000,-0.817778
2,0.140193,-0.010000,-0.817778
2,0.160220,-0.010000,-0.817778
2,0.180244,-0.010000,-0.817778
2,0.200266,-0.010000,-0.817778
2,0.220297,-0.010000,-0.817778
2,0.240325,-0.010000,-0.817778
2,0.260346,-0.010000,-0.817778
2,0.280374,-0.010000,-0.815556
2,0.300399,-0.017500,-0.795556
2,0.320428,-0.046250,-0.740000
2,0.340461,-0.070000,-0.688889
2,0.360480,-0.102500,-0.620000
2,0.380503,-0.116250,-0.586667
2,0.400520,-0.127500,-0.568889
2,0.420546,-0.128750,-0.568889
2,0.440572,-0.128750,-0.566667
2,0.460588,-0.128750,-0.566667
2,0.480617,-0.127500,-0.562222
2,0.500644,-0.123750,-0.557778
2,0.520668,-0.115000,-0.537778
2,0.540696,-0.110000,-0.513333
2,0.560721,-0.100000,-0.480000
2,0.580741,-0.095000,-0.444444
2,0.600764,-0.090000,-0.386667
2,0.620784,-0.090000,-0.353333
2,0.640808,-0.088750,-0.306667
2,0.660834,-0.086250,-0.277778
2,0.680863,-0.077500,-0.233333
2,0.700886,-0.062500,-0.202222
2,0.720904,-0.033750,-0.153333
2,0.740924,-0.011250,-0.117778
2,0.760951,0.035000,-0.064444
2,0.780980,0.063750,-0.035556
2,0.801008,0.108750,0.015556
2,0.821031,0.131250,0.044444
2,0.841055,0.156250,0.080000
2,0.861077,0.165000,0.102222
2,0.881109,0.171250,0.135556
2,0.901137,0.173750,0.155556
2,0.921161,0.175000,0.180000
2,0.941211,0.175000,0.197778
2,0.961233,0.175000,0.222222
2,0.981268,0.178750,0.248889
2,1.001291,0.180000,0.268889
2,1.021316,0.186250,0.302222
2,1.041334,0.195000,0.320000
2,1.061355,0.211250,0.346667
2,1.081383,0.230000,0.364444
2,1.101407,0.266250,0.397778
2,1.121431,0.297500,0.415556
2,1.141454,0.342500,0.426667
2,1.161482,0.368750,0.435556
2,1.181504,0.400000,0.442222
2,1.201529,0.407500,0.446667
2,1.221556,0.407500,0.446667
2,1.241576,0.407500,0.446667
2,1.261598,0.406250,0.446667
2,1.281626,0.401250,0.446667
2,1.301647,0.377500,0.446667
2,1.321665,0.350000,0.446667
2,1.341694,0.291250,0.446667
2,1.361723,0.233750,0.446667
2,1.381745,0.116250,0.446667
2,1.401774,0.035000,0.451111
2,1.421795,-0.083750,0.451111
2,1.441823,-0.156250,0.451111
2,1.461849,-0.258750,0.457778
2,1.481877,-0.298750,0.460000
2,1.501897,-0.338750,0.462222
2,1.521920,-0.355000,0.462222
2,1.541949,-0.358750,0.462222
2,1.561972,-0.358750,0.462222
2,1.581996,-0.358750,0.462222
2,1.602028,-0.358750,0.462222
2,1.622059,-0.358750,0.462222
2,1.642086,-0.358750,0.464444
2,1.662110,-0.356250,0.466667
2,1.682131,-0.352500,0.468889
2,1.702153,-0.337500,0.473333
2,1.722184,-0.320000,0.475556
2,1.742205,-0.288750,0.475556
2,1.762231,-0.273750,0.475556
2,1.782257,-0.265000,0.475556
2,1.802287,-0.263750,0.475556
2,1.822310,-0.263750,0.475556
2,1.842336,-0.263750,0.475556
2,1.862366,-0.263750,0.475556
2,1.882394,-0.263750,0.475556
2,1.902417,-0.263750,0.477778
2,1.922445,-0.267500,0.480000
2,1.942472,-0.273750,0.482222
2,1.962500,-0.277500,0.486667
2,1.982525,-0.280000,0.488889
2,2.002548,-0.280000,0.488889
2,2.022566,-0.280000,0.488889
2,2.042583,-0.280000,0.488889
2,2.062605,-0.280000,0.488889
2,2.082628,-0.280000,0.488889
2,2.102646,-0.280000,0.488889
2,0.020140,0.172500,0.422222
2,0.040165,0.180000,0.431111
2,0.060189,0.198750,0.442222
2,0.080218,0.221250,0.448889
2,0.100238,0.267500,0.451111
2,0.120269,0.303750,0.455556
2,0.140298,0.343750,0.460000
2,0.160324,0.358750,0.462222
2,0.180347,0.362500,0.466667
2,0.200366,0.362500,0.468889
2,0.220390,0.361250,0.468889
2,0.240412,0.358750,0.473333
2,0.260438,0.353750,0.477778
2,0.280463,0.352500,0.480000
2,0.300488,0.347500,0.482222
2,0.320515,0.342500,0.482222
2,0.340541,0.332500,0.488889
2,0.360561,0.326250,0.488889
2,0.380583,0.320000,0.488889
2,0.400611,0.318750,0.488889
2,0.420633,0.318750,0.488889
2,0.440654,0.318750,0.488889
2,0.460679,0.318750,0.488889
2,0.480709,0.318750,0.488889
2,0.500728,0.318750,0.488889
2,0.520754,0.318750,0.488889
3,0.020033,0.000000,-0.811111
3,0.040053,0.000000,-0.811111
3,0.060081,0.000000,-0.811111
3,0.080123,0.000000,-0.811111
3,0.100162,0.000000,-0.811111
3,0.120182,0.000000,-0.811111
3,0.140210,0.000000,-0.811111
3,0.160236,0.000000,-0.811111
3,0.180261,0.000000,-0.811111
3,0.200287,0.000000,-0.811111
3,0.220315,0.000000,-0.811111
3,0.240335,0.000000,-0.811111
3,0.260350,0.000000,-0.811111
3,0.280371,0.000000,-0.811111
3,0.300389,-0.001250,-0.811111
3,0.320409,-0.003750,-0.808889
3,0.340435,-0.006250,-0.806667
3,0.360454,-0.011250,-0.795556
3,0.380475,-0.020000,-0.784444
3,0.400501,-0.035000,-0.753333
3,0.420524,-0.047500,-0.731111
3,0.440549,-0.058750,-0.706667
3,0.460573,-0.065000,-0.693333
3,0.480595,-0.071250,-0.680000
3,0.500623,-0.071250,-0.677778
3,0.520648,-0.071250,-0.677778
3,0.540675,-0.071250,-0.673333
3,0.560702,-0.071250,-0.666667
3,0.580719,-0.071250,-0.655556
3,0.600742,-0.071250,-0.637778
3,0.620762,-0.071250,-0.622222
3,0.640787,-0.071250,-0.597778
3,0.660810,-0.070000,-0.582222
3,0.680832,-0.068750,-0.564444
