trialCt,rt,pos_x,pos_y
0,0.020030,0.002500,-0.815556
0,0.040059,0.002500,-0.815556
0,0.060098,0.002500,-0.815556
0,0.080144,0.002500,-0.815556
0,0.100170,0.002500,-0.815556
0,0.120202,0.002500,-0.815556
0,0.140243,0.002500,-0.815556
0,0.160291,0.002500,-0.815556
0,0.180321,0.002500,-0.815556
0,0.200341,0.002500,-0.815556
0,0.220464,0.002500,-0.815556
0,0.240506,0.002500,-0.795556
0,0.260535,0.005000,-0.766667
0,0.280561,0.013750,-0.677778
0,0.300585,0.021250,-0.577778
0,0.320611,0.037500,-0.377778
0,0.340646,0.057500,-0.264444
0,0.360674,0.112500,-0.073333
0,0.380702,0.145000,0.028889
0,0.400733,0.183750,0.104444
0,0.420756,0.197500,0.126667
0,0.440788,0.206250,0.144444
0,0.460815,0.215000,0.153333
0,0.480850,0.240000,0.173333
0,0.500878,0.262500,0.193333
0,0.520911,0.282500,0.217778
0,0.540937,0.287500,0.235556
0,0.561008,0.288750,0.255556
0,0.581036,0.288750,0.268889
0,0.601070,0.290000,0.291111
0,0.621104,0.291250,0.304444
0,0.641138,0.292500,0.324444
0,0.661170,0.295000,0.340000
0,0.681197,0.295000,0.362222
0,0.701230,0.296250,0.373333
0,0.723425,0.296250,0.400000
0,0.743453,0.296250,0.411111
0,0.763488,0.296250,0.426667
0,0.783523,0.296250,0.435556
0,0.803560,0.296250,0.448889
0,0.823592,0.296250,0.457778
0,0.843627,0.295000,0.466667
0,0.863652,0.295000,0.468889
0,0.883681,0.295000,0.477778
0,0.903714,0.295000,0.482222
0,0.923743,0.295000,0.488889
0,0.943785,0.295000,0.491111
0,0.963816,0.295000,0.493333
0,0.983839,0.295000,0.493333
0,1.003864,0.295000,0.493333
1,0.020045,-0.003750,-0.804444
1,0.040075,-0.003750,-0.784444
1,0.060122,-0.003750,-0.773333
1,0.080165,-0.003750,-0.760000
1,0.100196,-0.003750,-0.746667
1,0.120229,0.001250,-0.682222
1,0.140265,0.002500,-0.615556
1,0.160312,0.005000,-0.542222
1,0.180345,0.006250,-0.515556
1,0.200440,0.011250,-0.475556
1,0.220765,0.012500,-0.393333
1,0.240801,0.012500,-0.331111
1,0.260836,0.010000,-0.235556
1,0.280865,-0.003750,-0.175556
1,0.300897,-0.016250,-0.122222
1,0.320928,-0.021250,-0.106667
1,0.340969,-0.031250,-0.082222
1,0.360997,-0.045000,-0.057778
1,0.381028,-0.072500,-0.017778
1,0.401064,-0.095000,0.006667
1,0.421093,-0.126250,0.042222
1,0.441115,-0.137500,0.057778
1,0.461146,-0.147500,0.093333
1,0.481172,-0.150000,0.122222
1,0.501215,-0.158750,0.188889
1,0.521247,-0.175000,0.246667
1,0.541278,-0.200000,0.317778
1,0.561332,-0.202500,0.344444
1,0.581362,-0.202500,0.357778
1,0.601402,-0.203750,0.371111
1,0.621430,-0.210000,0.402222
1,0.641471,-0.213750,0.420000
1,0.661501,-0.217500,0.435556
1,0.681534,-0.220000,0.444444
1,0.701569,-0.222500,0.453333
1,0.721598,-0.223750,0.453333
1,0.741638,-0.225000,0.455556
1,0.761670,-0.226250,0.455556
1,0.781705,-0.241250,0.455556
1,0.801743,-0.253750,0.457778
1,0.821778,-0.271250,0.473333
1,0.841804,-0.272500,0.482222
1,0.861840,-0.273750,0.486667
1,0.881876,-0.273750,0.486667
1,0.901915,-0.273750,0.486667
1,0.921950,-0.273750,0.486667
1,0.941982,-0.273750,0.486667
1,0.962026,-0.273750,0.486667
1,0.982060,-0.273750,0.486667
1,0.020202,0.296250,0.364444
1,0.040255,0.296250,0.375556
1,0.060291,0.296250,0.382222
1,0.080371,0.297500,0.391111
1,0.100413,0.297500,0.397778
1,0.120444,0.298750,0.406667
1,0.140485,0.298750,0.411111
1,0.160527,0.298750,0.422222
1,0.180558,0.297500,0.431111
1,0.200592,0.296250,0.440000
1,0.220625,0.296250,0.446667
1,0.240664,0.296250,0.453333
1,0.260695,0.296250,0.457778
1,0.280724,0.296250,0.462222
1,0.300755,0.296250,0.466667
1,0.320793,0.295000,0.473333
1,0.340824,0.295000,0.475556
1,0.360864,0.295000,0.480000
1,0.380895,0.295000,0.484444
1,0.400930,0.295000,0.486667
1,0.420967,0.295000,0.486667
1,0.441005,0.295000,0.486667
2,0.020040,0.001250,-0.806667
2,0.040069,0.001250,-0.806667
2,0.060099,0.001250,-0.806667
2,0.080139,0.001250,-0.806667
2,0.100168,0.001250,-0.806667
2,0.120192,0.001250,-0.806667
2,0.140219,0.001250,-0.806667
2,0.160252,0.001250,-0.806667
2,0.180297,0.015000,-0.784444
2,0.200340,0.032500,-0.744444
2,0.220371,0.048750,-0.691111
2,0.240394,0.052500,-0.653333
2,0.260431,0.070000,-0.566667
2,0.280464,0.096250,-0.473333
2,0.300487,0.145000,-0.235556
2,0.320516,0.166250,-0.100000
2,0.340547,0.207500,0.064444
2,0.360572,0.236250,0.160000
2,0.380621,0.265000,0.277778
2,0.400648,0.271250,0.315556
2,0.420674,0.273750,0.328889
2,0.440704,0.273750,0.331111
2,0.460727,0.272500,0.333333
2,0.480765,0.270000,0.333333
2,0.500795,0.263750,0.335556
2,0.520845,0.255000,0.340000
2,0.540878,0.227500,0.344444
2,0.560926,0.201250,0.348889
2,0.580975,0.156250,0.360000
2,0.600996,0.127500,0.371111
2,0.621022,0.065000,0.388889
2,0.641053,0.006250,0.420000
2,0.661085,-0.090000,0.480000
2,0.681128,-0.131250,0.508889
2,0.701150,-0.160000,0.533333
2,0.721204,-0.166250,0.535556
2,0.741238,-0.166250,0.537778
2,0.761263,-0.167500,0.537778
2,0.781283,-0.171250,0.537778
2,0.801308,-0.195000,0.537778
2,0.821338,-0.217500,0.537778
2,0.841391,-0.243750,0.537778
2,0.861416,-0.247500,0.533333
2,0.881442,-0.247500,0.531111
2,0.901469,-0.248750,0.531111
2,0.921504,-0.253750,0.522222
2,0.941534,-0.263750,0.515556
2,0.961566,-0.280000,0.508889
2,0.981595,-0.286250,0.508889
2,1.001626,-0.288750,0.508889
2,1.021652,-0.288750,0.508889
2,1.041679,-0.288750,0.508889
2,1.061706,-0.290000,0.508889
2,1.081729,-0.290000,0.508889
3,0.020028,0.101250,-0.257778
3,0.040071,0.127500,-0.144444
3,0.060098,0.138750,-0.115556
3,0.080126,0.142500,-0.104444
3,0.100171,0.142500,-0.104444
3,0.120196,0.142500,-0.100000
3,0.140219,0.142500,-0.100000
3,0.160271,0.142500,-0.100000
3,0.180306,0.141250,-0.111111
3,0.200942,0.141250,-0.146667
3,0.220974,0.141250,-0.148889
3,0.241001,0.147500,-0.120000
3,0.261025,0.151250,-0.068889
3,0.281056,0.151250,0.022222
3,0.301084,0.148750,0.111111
3,0.321120,0.112500,0.304444
3,0.341163,0.090000,0.377778
3,0.361204,0.062500,0.428889
3,0.381258,0.047500,0.453333
3,0.401290,0.042500,0.471111
3,0.421327,0.045000,0.484444
3,0.441356,0.053750,0.515556
3,0.461386,0.057500,0.542222
3,0.481412,0.055000,0.575556
3,0.501444,0.047500,0.586667
3,0.521471,0.026250,0.588889
3,0.541491,-0.006250,0.580000
3,0.561515,-0.088750,0.562222
3,0.581542,-0.130000,0.555556
3,0.601572,-0.172500,0.553333
