trialCt,rt,pos_x,pos_y
0,0.020039,-0.005000,-0.806667
0,0.040065,-0.005000,-0.806667
0,0.060094,-0.005000,-0.806667
0,0.080111,-0.005000,-0.806667
0,0.100128,-0.005000,-0.806667
0,0.120159,-0.005000,-0.806667
0,0.140193,-0.005000,-0.806667
0,0.160226,-0.005000,-0.806667
0,0.180258,-0.005000,-0.806667
0,0.200276,-0.005000,-0.806667
0,0.220295,-0.006250,-0.806667
0,0.240323,-0.006250,-0.806667
0,0.260350,-0.006250,-0.806667
0,0.280377,-0.006250,-0.806667
0,0.300400,-0.006250,-0.806667
0,0.320419,-0.006250,-0.806667
0,0.340440,-0.006250,-0.806667
0,0.360462,-0.006250,-0.806667
0,0.380484,-0.006250,-0.806667
0,0.400506,-0.006250,-0.806667
0,0.420532,-0.006250,-0.806667
0,0.440547,-0.006250,-0.806667
0,0.460571,-0.006250,-0.806667
0,0.480598,-0.007500,-0.806667
0,0.500616,-0.007500,-0.808889
0,0.520641,-0.008750,-0.811111
0,0.540667,-0.010000,-0.811111
0,0.560684,-0.010000,-0.811111
0,0.580712,-0.006250,-0.811111
0,0.600742,0.003750,-0.811111
0,0.620764,0.022500,-0.813333
0,0.640787,0.026250,-0.813333
0,0.660807,0.026250,-0.813333
0,0.680827,0.027500,-0.813333
0,0.700855,0.027500,-0.800000
0,0.720877,0.027500,-0.773333
0,0.740906,0.027500,-0.717778
0,0.760927,0.027500,-0.680000
0,0.780956,0.027500,-0.608889
0,0.800983,0.030000,-0.555556
0,0.821008,0.042500,-0.437778
0,0.841031,0.061250,-0.313333
0,0.861053,0.096250,-0.104444
0,0.881076,0.123750,0.028889
0,0.901096,0.157500,0.177778
0,0.921123,0.177500,0.248889
0,0.941147,0.202500,0.324444
0,0.961167,0.222500,0.353333
0,0.981191,0.236250,0.368889
0,1.001230,0.236250,0.368889
0,1.021283,0.236250,0.368889
0,1.041325,0.236250,0.368889
0,1.061358,0.236250,0.368889
0,1.081398,0.236250,0.368889
0,1.101583,0.236250,0.368889
0,1.121601,0.236250,0.368889
0,1.141617,0.236250,0.368889
0,1.161634,0.236250,0.368889
0,1.182001,0.236250,0.368889
0,1.202121,0.236250,0.368889
0,1.222143,0.236250,0.368889
0,1.242161,0.236250,0.368889
0,1.262191,0.236250,0.368889
0,1.282211,0.236250,0.371111
0,1.302239,0.238750,0.377778
0,1.322279,0.243750,0.386667
0,1.342309,0.252500,0.393333
0,1.362336,0.255000,0.397778
0,1.382361,0.257500,0.411111
0,1.402393,0.257500,0.422222
0,1.422425,0.246250,0.440000
0,1.442511,0.191250,0.473333
0,1.462540,0.101250,0.513333
0,1.482559,-0.092500,0.575556
0,1.502581,-0.200000,0.600000
0,1.522608,-0.308750,0.608889
0,1.542626,-0.347500,0.613333
0,1.562658,-0.370000,0.626667
0,1.582687,-0.371250,0.626667
0,1.602719,-0.372500,0.624444
0,1.622744,-0.373750,0.617778
0,1.642767,-0.381250,0.602222
0,1.662795,-0.383750,0.591111
0,1.682822,-0.383750,0.584444
0,1.702843,-0.381250,0.577778
0,1.722873,-0.368750,0.566667
0,1.742900,-0.360000,0.564444
0,1.762925,-0.353750,0.557778
0,1.782952,-0.350000,0.551111
0,1.802973,-0.340000,0.540000
0,1.822994,-0.330000,0.526667
0,1.843023,-0.315000,0.511111
0,1.863052,-0.303750,0.500000
0,1.883085,-0.291250,0.486667
0,1.903118,-0.286250,0.486667
0,1.923146,-0.283750,0.482222
0,1.943173,-0.283750,0.482222
0,1.963196,-0.283750,0.482222
0,1.983215,-0.283750,0.482222
1,0.020031,0.002500,-0.780000
1,0.040059,0.002500,-0.780000
1,0.060082,0.002500,-0.780000
1,0.080117,0.002500,-0.780000
1,0.100142,0.002500,-0.780000
1,0.120174,0.002500,-0.780000
1,0.140200,0.002500,-0.780000
1,0.160223,0.002500,-0.780000
1,0.180247,0.002500,-0.780000
1,0.200272,0.002500,-0.780000
1,0.220296,0.002500,-0.780000
1,0.240321,0.002500,-0.780000
1,0.260344,0.002500,-0.780000
1,0.280364,0.002500,-0.780000
1,0.300390,0.002500,-0.780000
1,0.320410,0.002500,-0.780000
1,0.340430,0.002500,-0.780000
1,0.360448,0.002500,-0.780000
1,0.380470,0.002500,-0.780000
1,0.400492,0.002500,-0.780000
1,0.420522,0.002500,-0.780000
1,0.440546,0.002500,-0.780000
1,0.460575,0.002500,-0.775556
1,0.480600,0.002500,-0.764444
1,0.500621,0.002500,-0.724444
1,0.520643,0.002500,-0.662222
1,0.540666,0.002500,-0.462222
1,0.560694,0.001250,-0.288889
1,0.580715,-0.025000,0.004444
1,0.600738,-0.051250,0.193333
1,0.620769,-0.110000,0.448889
1,0.640813,-0.145000,0.562222
1,0.660841,-0.178750,0.668889
1,0.680915,-0.205000,0.728889
1,0.700946,-0.221250,0.757778
1,0.720988,-0.242500,0.793333
1,0.741012,-0.253750,0.808889
1,0.761043,-0.272500,0.842222
1,0.781071,-0.282500,0.862222
1,0.801100,-0.283750,0.875556
1,0.821131,-0.282500,0.877778
1,0.841162,-0.276250,0.880000
1,0.861188,-0.271250,0.877778
1,0.881214,-0.256250,0.855556
1,0.901243,-0.243750,0.833333
1,0.921264,-0.217500,0.791111
1,0.941284,-0.200000,0.760000
1,0.961309,-0.175000,0.720000
