trialCt,rt,pos_x,pos_y
0,0.020034,0.001250,-0.780000
0,0.040065,0.001250,-0.780000
0,0.060091,0.001250,-0.780000
0,0.080113,0.001250,-0.780000
0,0.100136,0.001250,-0.780000
0,0.120164,0.001250,-0.780000
0,0.140195,0.001250,-0.780000
0,0.160221,0.001250,-0.780000
0,0.180246,0.001250,-0.780000
0,0.200274,0.001250,-0.780000
0,0.220298,0.001250,-0.780000
0,0.240321,0.001250,-0.780000
0,0.260347,0.001250,-0.780000
0,0.280367,0.001250,-0.780000
0,0.300384,0.001250,-0.780000
0,0.320408,0.001250,-0.780000
0,0.340434,0.001250,-0.780000
0,0.360454,0.001250,-0.780000
0,0.380475,0.001250,-0.780000
0,0.400492,0.001250,-0.780000
0,0.420517,0.001250,-0.780000
0,0.440546,0.001250,-0.780000
0,0.460568,0.001250,-0.780000
0,0.480588,0.001250,-0.780000
0,0.500612,0.001250,-0.780000
0,0.520634,0.001250,-0.780000
0,0.540659,0.001250,-0.780000
0,0.560675,0.001250,-0.780000
0,0.580703,0.001250,-0.773333
0,0.600723,0.008750,-0.717778
0,0.620752,0.021250,-0.666667
0,0.640777,0.055000,-0.502222
0,0.660795,0.073750,-0.384444
0,0.680818,0.095000,-0.213333
0,0.700845,0.105000,-0.157778
0,0.720863,0.120000,-0.088889
0,0.740890,0.122500,-0.060000
0,0.760920,0.123750,-0.035556
0,0.780949,0.123750,-0.020000
0,0.800977,0.123750,-0.008889
0,0.821000,0.123750,-0.006667
0,0.841021,0.123750,-0.004444
0,0.861048,0.135000,0.004444
0,0.881068,0.160000,0.040000
0,0.901098,0.170000,0.066667
0,0.921122,0.183750,0.104444
0,0.941145,0.191250,0.131111
0,0.961174,0.207500,0.175556
0,0.981193,0.221250,0.215556
0,1.001221,0.237500,0.264444
0,1.021243,0.243750,0.284444
0,1.041263,0.253750,0.313333
0,1.061282,0.257500,0.324444
0,1.081310,0.257500,0.326667
0,1.101337,0.260000,0.328889
0,1.121361,0.263750,0.335556
0,1.141382,0.268750,0.342222
0,1.161404,0.272500,0.357778
0,1.181428,0.275000,0.371111
0,1.201459,0.278750,0.395556
0,1.221491,0.280000,0.408889
0,1.241518,0.280000,0.424444
0,1.261548,0.282500,0.435556
0,1.281574,0.286250,0.455556
0,1.301605,0.288750,0.468889
0,1.321631,0.290000,0.486667
0,1.341651,0.290000,0.493333
0,1.361691,0.292500,0.497778
0,1.381726,0.292500,0.497778
0,1.401747,0.292500,0.497778
0,1.421771,0.292500,0.497778
0,1.441795,0.292500,0.497778
1,0.020035,-0.007500,-0.802222
1,0.040061,-0.007500,-0.802222
1,0.060089,-0.007500,-0.802222
1,0.080106,-0.007500,-0.802222
1,0.100126,-0.007500,-0.802222
1,0.120153,-0.007500,-0.802222
1,0.140175,-0.007500,-0.802222
1,0.160198,-0.007500,-0.802222
1,0.180223,-0.007500,-0.802222
1,0.200239,-0.007500,-0.802222
1,0.220260,-0.007500,-0.802222
1,0.240279,-0.007500,-0.802222
1,0.260305,-0.007500,-0.802222
1,0.280329,-0.007500,-0.802222
1,0.300354,-0.007500,-0.802222
1,0.320379,-0.007500,-0.802222
1,0.340424,-0.007500,-0.802222
1,0.360455,-0.007500,-0.802222
1,0.380513,-0.007500,-0.802222
1,0.400642,-0.010000,-0.784444
1,0.420859,-0.021250,-0.684444
1,0.440888,-0.041250,-0.513333
1,0.460911,-0.096250,-0.240000
1,0.480933,-0.137500,-0.080000
1,0.500955,-0.197500,0.131111
1,0.520982,-0.240000,0.242222
1,0.541003,-0.277500,0.337778
1,0.561023,-0.291250,0.382222
1,0.581052,-0.316250,0.444444
1,0.601080,-0.332500,0.477778
1,0.621109,-0.343750,0.508889
1,0.641134,-0.346250,0.522222
1,0.661164,-0.347500,0.537778
1,0.681183,-0.347500,0.551111
1,0.701211,-0.347500,0.568889
1,0.721232,-0.347500,0.580000
1,0.741255,-0.347500,0.582222
1,0.761284,-0.346250,0.582222
1,0.781304,-0.342500,0.582222
1,0.801335,-0.336250,0.575556
1,0.821358,-0.330000,0.566667
1,0.841407,-0.327500,0.562222
1,0.861435,-0.325000,0.560000
1,0.881462,-0.322500,0.555556
1,0.901482,-0.318750,0.548889
1,0.921505,-0.316250,0.546667
1,0.941533,-0.313750,0.544444
1,0.961556,-0.313750,0.544444
1,0.981579,-0.313750,0.544444
1,1.001600,-0.312500,0.542222
1,1.021621,-0.310000,0.537778
1,1.041649,-0.308750,0.533333
1,1.061676,-0.307500,0.528889
1,1.081697,-0.305000,0.526667
1,1.101725,-0.303750,0.524444
1,1.121748,-0.303750,0.524444
1,1.141768,-0.303750,0.524444
1,1.161790,-0.303750,0.524444
1,1.181813,-0.303750,0.524444
1,1.201839,-0.303750,0.524444
1,1.221863,-0.303750,0.524444
1,1.241910,-0.303750,0.524444
1,1.261943,-0.303750,0.524444
1,1.281962,-0.303750,0.524444
2,0.020024,-0.012500,-0.766667
2,0.040043,-0.012500,-0.766667
2,0.060067,-0.012500,-0.766667
2,0.080090,-0.012500,-0.766667
2,0.100112,-0.012500,-0.766667
2,0.120137,-0.012500,-0.766667
2,0.140152,-0.012500,-0.766667
2,0.160169,-0.012500,-0.766667
2,0.180186,-0.012500,-0.766667
2,0.200200,-0.012500,-0.766667
2,0.220225,-0.012500,-0.766667
2,0.240245,-0.012500,-0.766667
2,0.260261,-0.012500,-0.766667
2,0.280286,-0.012500,-0.766667
2,0.300308,-0.012500,-0.766667
2,0.320333,-0.012500,-0.766667
2,0.340357,-0.012500,-0.766667
2,0.360377,-0.012500,-0.766667
2,0.380403,-0.012500,-0.766667
2,0.400421,-0.012500,-0.766667
2,0.420442,-0.010000,-0.764444
2,0.440469,0.008750,-0.731111
2,0.460495,0.028750,-0.693333
2,0.480518,0.073750,-0.551111
2,0.500542,0.125000,-0.393333
2,0.520566,0.181250,-0.217778
2,0.540587,0.210000,-0.151111
2,0.560605,0.242500,-0.040000
2,0.580634,0.253750,0.011111
