trialCt,rt,pos_x,pos_y
0,0.020032,0.006250,-0.717778
0,0.040061,0.001250,-0.684444
0,0.060089,-0.007500,-0.575556
0,0.080111,-0.015000,-0.504444
0,0.100135,-0.018750,-0.437778
0,0.120163,-0.018750,-0.397778
0,0.140185,-0.017500,-0.324444
0,0.160205,-0.013750,-0.275556
0,0.180234,0.001250,-0.186667
0,0.200254,0.017500,-0.131111
0,0.220278,0.045000,-0.051111
0,0.240302,0.075000,0.017778
0,0.260332,0.151250,0.124444
0,0.280355,0.196250,0.175556
0,0.300386,0.253750,0.246667
0,0.320406,0.277500,0.280000
0,0.340437,0.297500,0.308889
0,0.360458,0.300000,0.315556
0,0.380478,0.301250,0.315556
0,0.400506,0.301250,0.315556
0,0.420537,0.301250,0.315556
0,0.440557,0.301250,0.315556
0,0.460584,0.301250,0.333333
0,0.480608,0.301250,0.348889
0,0.500629,0.298750,0.375556
0,0.520658,0.292500,0.400000
0,0.540684,0.286250,0.435556
0,0.560711,0.286250,0.457778
0,0.580732,0.283750,0.482222
0,0.600758,0.283750,0.491111
0,0.620783,0.283750,0.493333
0,0.640807,0.283750,0.493333
0,0.660835,0.283750,0.493333
0,0.680862,0.283750,0.493333
0,0.700914,0.283750,0.493333
0,0.720940,0.283750,0.493333
0,0.740972,0.283750,0.493333
0,0.761001,0.285000,0.493333
0,0.781033,0.286250,0.493333
0,0.801055,0.286250,0.493333
0,0.821084,0.286250,0.493333
0,0.841110,0.286250,0.493333
0,0.861131,0.287500,0.493333
0,0.881159,0.290000,0.493333
0,0.901185,0.298750,0.491111
0,0.921210,0.306250,0.486667
0,0.941231,0.308750,0.484444
0,0.961260,0.308750,0.484444
0,0.981289,0.308750,0.484444
0,1.001312,0.308750,0.484444
0,1.021336,0.308750,0.484444
0,1.041357,0.308750,0.484444
0,1.061376,0.308750,0.484444
1,0.020029,-0.088750,-0.391111
1,0.040059,-0.092500,-0.337778
1,0.060089,-0.101250,-0.262222
1,0.080112,-0.103750,-0.202222
1,0.100139,-0.113750,-0.117778
1,0.120161,-0.126250,-0.071111
1,0.140189,-0.142500,-0.006667
1,0.160213,-0.152500,0.024444
1,0.180244,-0.152500,0.055556
1,0.200269,-0.152500,0.075556
1,0.220301,-0.153750,0.106667
1,0.240320,-0.156250,0.135556
1,0.260339,-0.160000,0.184444
1,0.280363,-0.155000,0.217778
1,0.300384,-0.088750,0.295556
1,0.320415,-0.002500,0.368889
1,0.340445,0.148750,0.462222
1,0.360468,0.215000,0.497778
1,0.380490,0.248750,0.511111
1,0.400514,0.248750,0.513333
1,0.420538,0.248750,0.513333
1,0.440563,0.248750,0.508889
1,0.460595,0.248750,0.508889
1,0.480620,0.253750,0.508889
1,0.500649,0.270000,0.508889
1,0.520675,0.277500,0.508889
1,0.540698,0.281250,0.508889
1,0.560725,0.281250,0.508889
1,0.580756,0.281250,0.506667
1,0.600787,0.281250,0.500000
1,0.620807,0.282500,0.495556
1,0.640833,0.282500,0.495556
1,0.660858,0.282500,0.495556
2,0.020038,-0.066250,-0.602222
2,0.040069,-0.093750,-0.488889
2,0.060099,-0.125000,-0.386667
2,0.080133,-0.160000,-0.260000
2,0.100155,-0.181250,-0.188889
2,0.120187,-0.192500,-0.115556
2,0.140207,-0.198750,-0.073333
2,0.160225,-0.207500,-0.002222
2,0.180253,-0.210000,0.060000
2,0.200282,-0.216250,0.137778
2,0.220302,-0.218750,0.175556
2,0.240322,-0.221250,0.224444
2,0.260348,-0.225000,0.253333
2,0.280375,-0.237500,0.288889
2,0.300396,-0.245000,0.302222
2,0.320415,-0.258750,0.317778
2,0.340440,-0.265000,0.324444
2,0.360466,-0.268750,0.331111
2,0.380484,-0.270000,0.335556
2,0.400516,-0.272500,0.346667
2,0.420545,-0.276250,0.362222
