trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,0.345429,1,2.182572,0.312500,0.497778,0.000000,0.000000,0.000000,1
1,0.353451,-1,1.241489,0.350000,0.508889,0.000000,0.000000,0.000000,46
2,0.221467,1,1.282148,-0.290000,0.480000,0.000000,0.000000,0.000000,52
3,0.191424,1,1.061900,-0.298750,0.522222,0.000000,0.000000,0.000000,22
4,0.239489,-1,0.901596,0.277500,0.553333,0.000000,0.000000,0.000000,58
5,0.181448,0,1.441749,0.320000,0.531111,0.420538,-0.297500,0.506667,51
6,0.347421,1,1.141320,-0.296250,0.495556,0.000000,0.000000,0.000000,52
7,0.359404,1,1.582854,0.268750,0.497778,0.000000,0.000000,0.000000,52
8,0.441455,1,1.221770,0.277500,0.484444,0.000000,0.000000,0.000000,53
9,0.471406,1,1.201509,-0.297500,0.500000,0.000000,0.000000,0.000000,52
10,0.445393,1,0.941167,-0.310000,0.488889,0.000000,0.000000,0.000000,51
11,0.353413,1,1.121290,-0.306250,0.495556,0.000000,0.000000,0.000000,51
12,0.427440,0,0.941081,0.311250,0.466667,0.640775,-0.298750,0.491111,53
13,0.427385,1,1.682040,-0.280000,0.520000,0.000000,0.000000,0.000000,1
14,0.479418,1,1.001708,-0.278750,0.495556,0.000000,0.000000,0.000000,56
15,0.307394,-1,0.860982,-0.352500,0.540000,0.000000,0.000000,0.000000,53
16,0.173426,1,0.821039,0.292500,0.506667,0.000000,0.000000,0.000000,56
17,0.399375,0,0.981239,-0.308750,0.468889,0.460606,0.337500,0.506667,53
18,0.775379,1,1.962370,-0.327500,0.528889,0.000000,0.000000,0.000000,3
19,0.453323,0,1.702068,0.293750,0.466667,0.520661,-0.331250,0.482222,47
20,0.535429,1,1.541814,-0.277500,0.471111,0.000000,0.000000,0.000000,49
21,1.143391,1,1.201438,0.297500,0.477778,0.000000,0.000000,0.000000,52
22,1.089344,1,1.441676,-0.266250,0.486667,0.000000,0.000000,0.000000,53
23,0.187386,1,0.981191,0.268750,0.502222,0.000000,0.000000,0.000000,60
24,0.807372,1,1.081257,-0.287500,0.484444,0.000000,0.000000,0.000000,53
25,0.471375,1,1.041645,-0.293750,0.464444,0.000000,0.000000,0.000000,53
26,0.591358,0,1.101814,0.278750,0.515556,0.340439,-0.302500,0.468889,55
27,0.495359,1,1.161368,-0.270000,0.493333,0.000000,0.000000,0.000000,56
28,0.637381,1,1.221396,0.285000,0.471111,0.000000,0.000000,0.000000,53
29,0.593433,0,1.101548,-0.276250,0.457778,0.500644,0.255000,0.471111,52
30,0.607375,1,1.061252,-0.301250,0.477778,0.000000,0.000000,0.000000,8
31,0.479404,1,1.461618,0.277500,0.495556,0.000000,0.000000,0.000000,52
32,0.323371,1,0.881101,-0.268750,0.486667,0.000000,0.000000,0.000000,59
33,0.443365,1,1.381683,0.290000,0.511111,0.000000,0.000000,0.000000,53
34,0.461389,1,1.041339,0.282500,0.502222,0.000000,0.000000,0.000000,54
35,0.259380,1,0.941808,0.293750,0.537778,0.000000,0.000000,0.000000,56
36,0.221393,1,1.301542,0.298750,0.513333,0.000000,0.000000,0.000000,52
37,0.000200,1,1.261465,-0.262500,0.493333,0.000000,0.000000,0.000000,1
38,0.365258,1,1.381559,0.286250,0.544444,0.000000,0.000000,0.000000,53
39,0.209370,1,0.961113,-0.283750,0.493333,0.000000,0.000000,0.000000,58
40,0.115382,1,0.981171,-0.261250,0.480000,0.000000,0.000000,0.000000,59
41,0.173348,1,0.881007,-0.281250,0.495556,0.000000,0.000000,0.000000,58
42,0.231372,1,1.061266,-0.273750,0.482222,0.000000,0.000000,0.000000,54
43,0.205346,1,1.201407,0.303750,0.480000,0.000000,0.000000,0.000000,49
44,0.291432,-1,1.281468,0.256250,0.533333,0.000000,0.000000,0.000000,55
45,0.077392,1,1.181314,-0.277500,0.504444,0.000000,0.000000,0.000000,51
46,0.497372,1,1.181392,0.303750,0.535556,0.000000,0.000000,0.000000,50
47,0.443366,1,1.121339,0.306250,0.484444,0.000000,0.000000,0.000000,51
48,0.279375,1,2.382619,0.288750,0.515556,0.000000,0.000000,0.000000,1
49,0.381344,1,1.882088,0.308750,0.484444,0.000000,0.000000,0.000000,1
50,0.351385,0,1.782055,-0.287500,0.464444,3.000000,0.028750,-0.806667,46
51,0.149327,1,1.782015,-0.261250,0.482222,0.000000,0.000000,0.000000,52
52,0.395372,0,0.941196,-0.291250,0.540000,0.440547,0.253750,0.548889,57
53,0.351306,0,1.201387,0.291250,0.488889,0.860983,-0.315000,0.493333,51
54,0.337299,1,1.621819,0.267500,0.493333,0.000000,0.000000,0.000000,51
55,0.457351,1,1.181390,-0.287500,0.482222,0.000000,0.000000,0.000000,53
56,0.711295,1,1.641932,0.313750,0.497778,0.000000,0.000000,0.000000,49
57,0.504870,1,1.101241,0.322500,0.504444,0.000000,0.000000,0.000000,52
58,0.287337,1,1.281514,-0.287500,0.515556,0.000000,0.000000,0.000000,25
59,0.299306,1,2.162596,-0.276250,0.493333,0.000000,0.000000,0.000000,1
60,0.361303,1,2.002540,0.315000,0.477778,0.000000,0.000000,0.000000,42
61,0.283329,1,1.001124,0.306250,0.528889,0.000000,0.000000,0.000000,56
62,1.619282,1,1.782147,-0.288750,0.522222,0.000000,0.000000,0.000000,12
63,0.251287,0,1.121293,-0.295000,0.524444,0.720888,0.273750,0.493333,52
64,0.441245,-1,1.181377,0.255000,0.528889,0.000000,0.000000,0.000000,58
65,0.497303,1,1.501645,0.320000,0.513333,0.000000,0.000000,0.000000,45
66,1.157280,1,1.361631,0.288750,0.486667,0.000000,0.000000,0.000000,52
67,0.571306,1,2.342625,-0.305000,0.524444,0.000000,0.000000,0.000000,39
68,0.589251,1,1.081430,0.317500,0.493333,0.000000,0.000000,0.000000,51
69,0.763299,0,1.121270,-0.001250,-0.804444,0.700768,0.287500,0.468889,88
70,1.093287,1,1.842113,0.305000,0.500000,0.000000,0.000000,0.000000,43
71,0.291268,1,1.321450,-0.260000,0.497778,0.000000,0.000000,0.000000,55
72,0.399320,1,1.822339,-0.267500,0.517778,0.000000,0.000000,0.000000,49
73,0.283254,1,1.421580,0.263750,0.491111,0.000000,0.000000,0.000000,52
74,0.687254,1,1.982278,-0.262500,0.500000,0.000000,0.000000,0.000000,1
75,0.755268,0,1.321546,-0.271250,0.482222,0.760921,0.280000,0.506667,53
76,0.295325,0,1.641893,0.340000,0.486667,0.500618,-0.271250,0.515556,45
77,0.335197,1,1.241479,-0.306250,0.526667,0.000000,0.000000,0.000000,49
78,0.113211,1,1.261467,0.317500,0.464444,0.000000,0.000000,0.000000,49
79,0.363178,1,1.361595,-0.290000,0.477778,0.000000,0.000000,0.000000,49
80,0.167254,1,1.561722,-0.277500,0.502222,0.000000,0.000000,0.000000,51
81,0.375208,1,1.441680,0.286250,0.473333,0.000000,0.000000,0.000000,50
82,0.551246,0,1.261413,-0.278750,0.513333,0.600770,0.272500,0.500000,53
83,0.373204,1,1.701942,-0.298750,0.506667,0.000000,0.000000,0.000000,46
84,0.207214,1,1.261511,0.316250,0.533333,0.000000,0.000000,0.000000,50
85,0.121201,1,0.881008,0.303750,0.504444,0.000000,0.000000,0.000000,52
86,0.279234,1,1.201425,-0.306250,0.493333,0.000000,0.000000,0.000000,51
87,0.143209,1,1.301540,0.320000,0.480000,0.000000,0.000000,0.000000,45
88,0.333190,1,0.901321,-0.285000,0.491111,0.000000,0.000000,0.000000,56
89,0.113207,1,1.261407,0.313750,0.484444,0.000000,0.000000,0.000000,49
90,1.129103,1,0.921127,0.298750,0.526667,0.000000,0.000000,0.000000,55
91,1.099143,1,0.720812,-0.300000,0.502222,0.000000,0.000000,0.000000,57
92,0.391210,1,1.602249,-0.292500,0.488889,0.000000,0.000000,0.000000,46
93,0.185153,1,1.261485,-0.270000,0.468889,0.000000,0.000000,0.000000,53
94,0.659184,1,1.181382,0.328750,0.471111,0.000000,0.000000,0.000000,47
95,0.125187,1,1.101292,0.310000,0.484444,0.000000,0.000000,0.000000,50
96,0.155148,0,1.561824,0.286250,0.482222,0.961147,-0.308750,0.488889,51
97,0.459176,1,1.281501,0.306250,0.517778,0.000000,0.000000,0.000000,50
98,0.389186,1,1.101278,-0.291250,0.486667,0.000000,0.000000,0.000000,52
99,0.401194,1,0.881064,-0.310000,0.542222,0.000000,0.000000,0.000000,55
100,0.373170,1,1.081198,0.302500,0.502222,0.000000,0.000000,0.000000,52
101,0.389175,1,1.541861,0.318750,0.511111,0.000000,0.000000,0.000000,47
102,0.305167,1,2.002368,0.287500,0.484444,0.000000,0.000000,0.000000,1
103,0.333122,1,0.981129,-0.316250,0.504444,0.000000,0.000000,0.000000,52
104,0.317211,1,1.381581,-0.311250,0.488889,0.000000,0.000000,0.000000,21
105,0.095164,1,0.921062,-0.307500,0.495556,0.000000,0.000000,0.000000,53
106,0.437150,1,1.041215,0.316250,0.517778,0.000000,0.000000,0.000000,53
