trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,0.329471,1,1.502156,-0.336250,0.497778,0.000000,0.000000,0.000000,1
1,0.563565,-1,0.941387,-0.316250,0.557778,0.000000,0.000000,0.000000,35
2,0.855444,0,0.901552,0.311250,0.504444,0.560810,-0.273750,0.495556,50
3,0.469521,1,1.321892,-0.306250,0.506667,0.000000,0.000000,0.000000,1
4,0.671514,1,1.481784,0.301250,0.524444,0.000000,0.000000,0.000000,1
5,0.353403,1,0.881458,-0.296250,0.517778,0.000000,0.000000,0.000000,56
6,0.695536,1,0.780982,-0.291250,0.500000,0.000000,0.000000,0.000000,57
7,0.491577,0,0.781046,-0.308750,0.524444,0.340541,0.290000,0.537778,55
8,0.775530,0,1.001587,-0.310000,0.484444,0.620881,0.271250,0.495556,1
9,0.555526,0,0.781427,0.290000,0.535556,0.280576,-0.291250,0.471111,60
10,0.663358,0,1.041342,0.312500,0.513333,0.040085,-0.320000,0.511111,52
11,0.443537,0,0.941470,-0.290000,0.520000,0.080145,0.302500,0.488889,56
12,0.601530,1,0.781272,-0.300000,0.495556,0.000000,0.000000,0.000000,57
13,0.591461,1,0.801260,0.281250,0.508889,0.000000,0.000000,0.000000,58
14,0.693489,0,1.462124,-0.291250,0.482222,0.340839,0.321250,0.495556,1
15,0.503505,1,0.981565,-0.308750,0.513333,0.000000,0.000000,0.000000,53
16,0.507520,1,1.021582,-0.306250,0.504444,0.000000,0.000000,0.000000,1
17,0.653523,1,0.801538,0.312500,0.500000,0.000000,0.000000,0.000000,55
18,0.593673,1,0.901499,-0.282500,0.522222,0.000000,0.000000,0.000000,56
19,0.579492,1,0.981725,-0.292500,0.511111,0.000000,0.000000,0.000000,54
20,0.529244,1,0.600781,0.288750,0.515556,0.000000,0.000000,0.000000,59
21,0.397459,1,0.921357,0.298750,0.513333,0.000000,0.000000,0.000000,27
22,0.649524,1,0.801029,-0.312500,0.515556,0.000000,0.000000,0.000000,54
23,0.141482,0,1.121598,0.266250,0.515556,0.020078,-0.293750,0.520000,0
24,0.461494,1,0.821338,-0.310000,0.513333,0.000000,0.000000,0.000000,12
25,0.365463,1,0.881344,0.296250,0.515556,0.000000,0.000000,0.000000,57
26,0.375456,1,0.720969,-0.297500,0.486667,0.000000,0.000000,0.000000,56
27,0.295450,1,0.901342,-0.317500,0.497778,0.000000,0.000000,0.000000,53
28,0.523476,1,1.281919,0.315000,0.508889,0.000000,0.000000,0.000000,1
29,0.641369,-1,0.841361,0.278750,0.566667,0.000000,0.000000,0.000000,59
30,0.541459,1,1.182505,-0.295000,0.515556,0.000000,0.000000,0.000000,53
31,0.559469,0,0.901486,0.288750,0.504444,0.020277,-0.308750,0.522222,57
32,0.449469,1,0.941390,0.331250,0.493333,0.000000,0.000000,0.000000,50
33,0.583461,0,0.981547,-0.302500,0.486667,0.260369,0.285000,0.493333,53
34,0.577446,0,0.781041,-0.295000,0.508889,0.160250,0.295000,0.515556,58
35,0.461443,1,0.740970,-0.292500,0.497778,0.000000,0.000000,0.000000,57
36,0.551439,0,0.220342,-0.003750,-0.791111,0.020076,0.310000,0.526667,97
37,0.681357,0,0.801316,-0.313750,0.506667,0.741334,0.286250,0.457778,54
38,0.683448,1,0.801310,-0.296250,0.493333,0.000000,0.000000,0.000000,57
39,0.763380,1,0.901394,-0.277500,0.497778,0.000000,0.000000,0.000000,57
40,0.573454,1,0.761312,0.308750,0.511111,0.000000,0.000000,0.000000,55
41,0.497411,-1,0.761210,0.350000,0.546667,0.000000,0.000000,0.000000,51
42,0.703369,0,0.821034,-0.291250,0.508889,0.160375,0.283750,0.484444,55
