trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,0.384058,1,1.221824,0.278750,0.506667,0.000000,0.000000,0.000000,55
1,0.490051,0,1.261561,0.322500,0.502222,0.981298,-0.298750,0.484444,1
2,0.206033,1,0.700939,0.287500,0.524444,0.000000,0.000000,0.000000,59
3,0.365983,0,1.461992,0.295000,0.508889,0.660855,-0.278750,0.540000,1
4,0.800125,0,1.261577,-0.310000,0.531111,0.420562,0.306250,0.488889,51
5,0.390077,1,1.241631,0.287500,0.515556,0.000000,0.000000,0.000000,54
6,0.542034,1,1.281674,-0.293750,0.497778,0.000000,0.000000,0.000000,1
7,0.652015,1,0.921294,0.302500,0.488889,0.000000,0.000000,0.000000,54
8,0.354020,1,0.901170,-0.301250,0.548889,0.000000,0.000000,0.000000,1
9,0.456026,-1,1.121392,0.283750,0.553333,0.000000,0.000000,0.000000,55
10,1.011999,0,0.760973,-0.307500,0.508889,0.700891,0.292500,0.524444,56
11,0.428031,0,1.121423,0.295000,0.477778,0.560719,-0.316250,0.477778,52
12,0.731992,1,1.261561,0.283750,0.506667,0.000000,0.000000,0.000000,54
13,0.230033,-1,1.021298,-0.333750,0.551111,0.000000,0.000000,0.000000,51
14,0.576045,1,1.161483,-0.318750,0.544444,0.000000,0.000000,0.000000,52
15,0.576021,1,1.261620,0.313750,0.526667,0.000000,0.000000,0.000000,50
16,1.025927,-1,0.921202,0.278750,0.448889,0.000000,0.000000,0.000000,56
17,0.713959,1,1.341645,-0.283750,0.475556,0.000000,0.000000,0.000000,52
18,0.507997,1,1.301601,0.280000,0.493333,0.000000,0.000000,0.000000,52
19,0.335998,1,1.261605,-0.300000,0.513333,0.000000,0.000000,0.000000,47
20,0.428010,0,1.141605,-0.308750,0.517778,0.460590,0.306250,0.540000,52
21,0.403972,1,0.981266,-0.303750,0.522222,0.000000,0.000000,0.000000,54
22,0.461994,0,1.081479,-0.296250,0.495556,0.180242,0.323750,0.497778,55
23,0.310039,1,1.061404,0.271250,0.508889,0.000000,0.000000,0.000000,57
24,0.297969,1,1.141393,-0.287500,0.526667,0.000000,0.000000,0.000000,55
25,0.383999,1,1.041303,0.267500,0.511111,0.000000,0.000000,0.000000,59
26,0.515939,1,1.081320,-0.308750,0.528889,0.000000,0.000000,0.000000,53
