trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,0.721953,1,1.261637,-0.295000,0.491111,0.000000,0.000000,0.000000,51
1,0.372042,0,1.021685,0.288750,0.546667,1.142451,0.000000,-0.808889,56
2,1.091826,1,1.041449,-0.305000,0.511111,0.000000,0.000000,0.000000,53
3,0.396139,0,0.901313,-0.306250,0.491111,1.963027,0.002500,-0.793333,53
4,0.402041,1,0.861149,-0.307500,0.473333,0.000000,0.000000,0.000000,54
5,0.366054,1,1.021416,0.282500,0.504444,0.000000,0.000000,0.000000,55
6,0.192183,1,1.061466,0.295000,0.508889,0.000000,0.000000,0.000000,53
7,0.580741,1,1.121530,0.302500,0.533333,0.000000,0.000000,0.000000,54
8,0.340969,1,1.161698,0.295000,0.488889,0.000000,0.000000,0.000000,1
9,0.966164,1,1.582039,0.320000,0.480000,0.000000,0.000000,0.000000,45
10,1.194160,1,1.041380,0.283750,0.511111,0.000000,0.000000,0.000000,56
11,0.502166,0,0.901340,-0.268750,0.513333,1.863073,0.001250,-0.760000,58
12,0.414156,1,1.522056,-0.288750,0.477778,0.000000,0.000000,0.000000,1
13,0.720163,1,0.660981,0.277500,0.515556,0.000000,0.000000,0.000000,60
14,0.604139,0,1.421914,0.303750,0.455556,1.322164,-0.025000,-0.837778,48
15,0.507653,-1,0.921192,-0.297500,0.555556,0.000000,0.000000,0.000000,55
16,0.794127,1,1.381868,0.300000,0.468889,0.000000,0.000000,0.000000,49
17,0.398117,0,0.981376,-0.296250,0.533333,0.901665,-0.015000,-0.773333,55
18,0.246072,-1,0.801195,-0.310000,0.555556,0.000000,0.000000,0.000000,56
19,0.339694,0,1.421927,0.276250,0.502222,1.922694,-0.306250,0.473333,52
20,0.889793,1,1.602175,-0.308750,0.524444,0.000000,0.000000,0.000000,48
21,0.406005,1,1.381920,-0.315000,0.497778,0.000000,0.000000,0.000000,49
22,0.400766,0,1.722430,0.277500,0.466667,0.300880,-0.281250,0.486667,49
23,0.422055,1,1.742336,-0.300000,0.504444,0.000000,0.000000,0.000000,46
24,0.627832,0,1.341750,0.322500,0.500000,1.362474,-0.003750,-0.808889,47
25,0.416144,1,2.523416,0.296250,0.531111,0.000000,0.000000,0.000000,40
26,0.262107,1,1.201710,-0.315000,0.482222,0.000000,0.000000,0.000000,48
27,0.288082,0,1.101529,-0.300000,0.524444,0.280410,0.315000,0.511111,53
28,0.428105,1,1.061512,0.277500,0.515556,0.000000,0.000000,0.000000,56
29,0.552125,0,1.021372,-0.283750,0.526667,0.400610,0.282500,0.513333,54
30,0.330138,1,1.101490,-0.286250,0.528889,0.000000,0.000000,0.000000,55
31,0.824098,0,1.562141,0.285000,0.457778,1.041683,-0.265000,0.504444,48
32,0.743971,1,1.221753,-0.302500,0.511111,0.000000,0.000000,0.000000,23
33,0.573859,1,1.281720,0.308750,0.528889,0.000000,0.000000,0.000000,51
34,0.771811,1,1.441919,0.321250,0.533333,0.000000,0.000000,0.000000,49
35,0.675975,1,1.341708,-0.290000,0.522222,0.000000,0.000000,0.000000,51
36,0.376121,1,1.301757,0.306250,0.513333,0.000000,0.000000,0.000000,51
37,0.625950,0,1.041373,-0.322500,0.493333,2.503838,0.275000,0.517778,50
38,0.628040,0,1.181535,-0.310000,0.497778,0.300878,0.272500,0.528889,50
39,0.107767,1,0.921241,-0.333750,0.506667,0.000000,0.000000,0.000000,52
40,0.348051,1,1.462015,0.280000,0.502222,0.000000,0.000000,0.000000,51
41,0.247952,1,1.121409,-0.266250,0.484444,0.000000,0.000000,0.000000,55
42,0.600233,0,1.381808,-0.305000,0.495556,0.841919,0.316250,0.482222,49
43,0.056003,0,1.001416,0.265000,0.504444,0.420656,-0.316250,0.484444,57
44,0.242102,0,1.542109,0.315000,0.513333,0.561268,-0.301250,0.486667,46
45,0.262046,1,1.181590,-0.345000,0.504444,0.000000,0.000000,0.000000,46
46,0.305992,1,0.741076,-0.312500,0.486667,0.000000,0.000000,0.000000,54
47,0.644018,1,1.061494,0.317500,0.526667,0.000000,0.000000,0.000000,52
48,0.204050,1,0.941326,-0.277500,0.502222,0.000000,0.000000,0.000000,56
49,0.241728,1,0.941412,0.315000,0.504444,0.000000,0.000000,0.000000,54
50,0.303754,1,1.261764,0.315000,0.482222,0.000000,0.000000,0.000000,49
51,0.762050,0,1.261677,0.316250,0.515556,0.381221,-0.287500,0.513333,49
52,0.515875,0,1.541997,-0.292500,0.535556,0.401170,0.278750,0.537778,49
53,0.194067,1,1.101510,0.293750,0.495556,0.000000,0.000000,0.000000,53
54,0.172038,0,1.201688,-0.300000,0.508889,0.420787,0.272500,0.482222,51
55,0.246052,0,1.281654,-0.275000,0.488889,0.120313,0.321250,0.486667,53
56,0.817893,1,1.562141,-0.291250,0.486667,0.000000,0.000000,0.000000,49
57,0.053798,1,0.801078,0.307500,0.520000,0.000000,0.000000,0.000000,55
58,0.347764,1,0.861178,-0.287500,0.486667,0.000000,0.000000,0.000000,56
59,0.412038,1,1.261764,-0.283750,0.486667,0.000000,0.000000,0.000000,1
60,0.772019,1,1.582164,-0.303750,0.488889,0.000000,0.000000,0.000000,1
61,0.415579,0,1.221634,0.325000,0.506667,0.480810,-0.285000,0.511111,49
62,0.386026,1,1.502642,-0.298750,0.493333,0.000000,0.000000,0.000000,48
63,0.656051,1,0.841142,0.311250,0.477778,0.000000,0.000000,0.000000,54
64,0.558011,1,0.961327,0.295000,0.500000,0.000000,0.000000,0.000000,55
65,0.307908,1,0.721023,-0.286250,0.475556,0.000000,0.000000,0.000000,57
66,0.457681,0,0.941237,0.290000,0.500000,0.420781,-0.347500,0.522222,55
67,0.295905,1,0.961263,-0.321250,0.482222,0.000000,0.000000,0.000000,51
68,0.493817,1,1.141499,0.333750,0.475556,0.000000,0.000000,0.000000,1
69,0.283936,1,1.181659,0.325000,0.484444,0.000000,0.000000,0.000000,48
70,0.561884,1,1.181568,0.297500,0.484444,0.000000,0.000000,0.000000,52
71,0.261985,1,1.561975,0.268750,0.473333,0.000000,0.000000,0.000000,1
72,0.281965,1,0.901182,-0.272500,0.482222,0.000000,0.000000,0.000000,56
73,0.356033,1,0.961327,0.322500,0.464444,0.000000,0.000000,0.000000,51
74,0.390151,1,1.061424,-0.286250,0.500000,0.000000,0.000000,0.000000,55
75,0.240021,1,1.101485,0.298750,0.455556,0.000000,0.000000,0.000000,22
76,0.325833,1,0.941267,0.347500,0.513333,0.000000,0.000000,0.000000,49
77,0.684007,1,0.861144,-0.298750,0.502222,0.000000,0.000000,0.000000,54
78,0.496004,1,0.861248,0.268750,0.495556,0.000000,0.000000,0.000000,58
79,0.311759,1,0.941307,-0.292500,0.520000,0.000000,0.000000,0.000000,56
80,0.053865,-1,1.101430,-0.282500,0.442222,0.000000,0.000000,0.000000,1
81,0.173827,1,1.261580,0.307500,0.506667,0.000000,0.000000,0.000000,50
82,0.325931,1,1.241698,-0.337500,0.500000,0.000000,0.000000,0.000000,1
83,0.281721,1,1.561960,-0.270000,0.466667,0.000000,0.000000,0.000000,50
84,0.545780,1,1.261581,0.327500,0.497778,0.000000,0.000000,0.000000,47
85,0.321957,0,0.981212,-0.306250,0.528889,0.621117,0.291250,0.515556,53
86,0.301905,1,1.061387,0.291250,0.526667,0.000000,0.000000,0.000000,55
87,0.560179,0,1.201526,0.292500,0.511111,0.280403,-0.301250,0.517778,53
88,0.431965,1,1.281646,-0.330000,0.491111,0.000000,0.000000,0.000000,14
89,0.405962,0,0.961272,-0.332500,0.495556,0.520736,0.272500,0.515556,50
90,0.797935,1,1.421699,-0.308750,0.504444,0.000000,0.000000,0.000000,49
91,0.150076,1,1.261626,-0.330000,0.484444,0.000000,0.000000,0.000000,47
92,0.105862,1,1.481960,0.290000,0.506667,0.000000,0.000000,0.000000,50
93,1.607886,1,1.201471,-0.263750,0.488889,0.000000,0.000000,0.000000,55
94,0.191936,0,0.941098,-0.298750,0.533333,0.680927,0.295000,0.497778,55
95,0.347678,1,0.781034,0.316250,0.517778,0.000000,0.000000,0.000000,55
96,0.399914,1,1.301675,0.307500,0.482222,0.000000,0.000000,0.000000,49
97,0.451948,0,1.081356,0.317500,0.486667,0.440549,-0.315000,0.493333,51
98,0.327984,0,1.281566,0.273750,0.495556,0.440971,-0.302500,0.484444,54
99,0.165814,1,0.921169,0.325000,0.477778,0.000000,0.000000,0.000000,51
100,0.477932,1,1.461736,-0.313750,0.515556,0.000000,0.000000,0.000000,1
101,0.710632,1,1.361802,0.303750,0.488889,0.000000,0.000000,0.000000,50
102,0.931926,0,0.821031,-0.006250,-0.795556,0.180279,0.291250,0.462222,91
103,0.575593,1,1.241571,0.307500,0.513333,0.000000,0.000000,0.000000,52
104,0.081947,0,1.361794,0.287500,0.528889,0.701016,-0.298750,0.460000,52
105,0.341666,1,1.822097,0.307500,0.513333,0.000000,0.000000,0.000000,45
106,0.227921,1,1.321714,-0.281250,0.495556,0.000000,0.000000,0.000000,51
107,0.395906,1,1.161421,0.301250,0.453333,0.000000,0.000000,0.000000,51
108,0.543914,1,1.301573,0.315000,0.520000,0.000000,0.000000,0.000000,49
109,0.405627,-1,1.281525,-0.295000,0.551111,0.000000,0.000000,0.000000,52
110,0.543783,0,1.201479,0.293750,0.491111,0.420542,-0.307500,0.475556,53
111,0.401685,0,1.041331,-0.303750,0.486667,0.520704,0.280000,0.493333,52
112,0.407482,0,1.782123,0.302500,0.488889,0.340817,-0.295000,0.517778,45
113,0.451471,0,1.061342,-0.316250,0.531111,0.180283,0.308750,0.491111,52
114,0.343806,1,0.881128,0.317500,0.508889,0.000000,0.000000,0.000000,53
115,0.127878,-1,1.021259,-0.321250,0.546667,0.000000,0.000000,0.000000,50
116,0.453473,1,1.281647,0.306250,0.493333,0.000000,0.000000,0.000000,50
117,0.689616,1,1.441786,-0.275000,0.488889,0.000000,0.000000,0.000000,52
118,0.495887,1,1.221621,-0.291250,0.473333,0.000000,0.000000,0.000000,16
119,0.201563,0,1.982293,0.305000,0.488889,0.600811,-0.303750,0.506667,43
120,0.223736,1,1.141395,0.282500,0.491111,0.000000,0.000000,0.000000,55
121,0.323628,0,1.361676,0.305000,0.486667,0.320427,-0.286250,0.488889,49
122,0.413659,0,1.181398,-0.308750,0.493333,0.180486,0.305000,0.491111,37
123,0.275840,-1,1.261595,0.308750,0.553333,0.000000,0.000000,0.000000,50
124,0.755673,1,0.821099,-0.288750,0.475556,0.000000,0.000000,0.000000,57
125,0.130072,1,0.941271,0.301250,0.511111,0.000000,0.000000,0.000000,53
126,0.335775,1,1.041304,-0.302500,0.528889,0.000000,0.000000,0.000000,54
127,0.510471,0,1.161544,0.283750,0.504444,0.921194,-0.331250,0.506667,54
128,0.201657,1,1.041302,-0.322500,0.477778,0.000000,0.000000,0.000000,48
129,0.347880,-1,1.001143,-0.280000,0.553333,0.000000,0.000000,0.000000,57
130,0.723775,1,0.800957,-0.260000,0.502222,0.000000,0.000000,0.000000,61
131,0.309863,1,1.021279,-0.315000,0.500000,0.000000,0.000000,0.000000,53
132,0.203878,1,1.081357,0.306250,0.495556,0.000000,0.000000,0.000000,53
133,0.347677,1,1.141418,0.280000,0.508889,0.000000,0.000000,0.000000,1
134,0.225831,1,1.762170,0.305000,0.468889,0.000000,0.000000,0.000000,1
135,0.277748,1,1.461871,0.306250,0.497778,0.000000,0.000000,0.000000,49
136,0.353661,1,1.581883,0.305000,0.488889,0.000000,0.000000,0.000000,47
137,0.041833,0,1.581863,0.316250,0.513333,0.280389,-0.263750,0.537778,46
138,1.181619,1,1.662040,0.312500,0.495556,0.000000,0.000000,0.000000,44
139,0.897610,1,1.661999,0.283750,0.515556,0.000000,0.000000,0.000000,49
140,0.769853,1,1.321676,-0.286250,0.513333,0.000000,0.000000,0.000000,54
141,0.335908,1,1.281609,-0.288750,0.486667,0.000000,0.000000,0.000000,51
142,0.169805,-1,1.161395,0.325000,0.553333,0.000000,0.000000,0.000000,50
143,0.365753,0,2.002345,-0.285000,0.506667,0.400561,0.302500,0.504444,1
144,0.171788,1,1.822339,-0.278750,0.502222,0.000000,0.000000,0.000000,49
145,0.643676,1,1.541782,0.296250,0.506667,0.000000,0.000000,0.000000,48
146,0.339768,1,1.141545,-0.272500,0.468889,0.000000,0.000000,0.000000,55
147,0.411697,1,1.361671,-0.293750,0.480000,0.000000,0.000000,0.000000,51
148,0.197833,-1,1.161407,-0.308750,0.551111,0.000000,0.000000,0.000000,47
149,0.485774,0,1.702105,0.272500,0.502222,1.521880,-0.300000,0.528889,50
150,0.181650,1,1.762120,0.302500,0.513333,0.000000,0.000000,0.000000,46
151,2.323590,0,0.901114,-0.277500,0.482222,0.240309,0.291250,0.502222,58
152,1.041781,0,1.641988,0.302500,0.493333,0.280388,-0.342500,0.562222,31
153,0.401762,1,1.621963,0.292500,0.482222,0.000000,0.000000,0.000000,47
154,0.431707,1,1.682061,-0.278750,0.477778,0.000000,0.000000,0.000000,48
155,0.713213,1,1.962455,-0.320000,0.504444,0.000000,0.000000,0.000000,1
156,0.489691,1,1.321650,-0.305000,0.495556,0.000000,0.000000,0.000000,49
157,0.579670,1,1.301524,0.280000,0.515556,0.000000,0.000000,0.000000,53
158,0.307773,1,1.221682,0.313750,0.515556,0.000000,0.000000,0.000000,51
159,0.273662,1,1.621931,0.306250,0.475556,0.000000,0.000000,0.000000,45
160,0.357730,1,1.361627,-0.318750,0.495556,0.000000,0.000000,0.000000,46
161,0.577729,1,1.021323,-0.260000,0.486667,0.000000,0.000000,0.000000,58
162,0.283760,1,1.582013,-0.261250,0.517778,0.000000,0.000000,0.000000,1
163,0.421743,1,1.061266,-0.283750,0.528889,0.000000,0.000000,0.000000,56
164,0.259812,1,2.022556,-0.262500,0.482222,0.000000,0.000000,0.000000,1
165,0.609856,1,0.961221,-0.333750,0.477778,0.000000,0.000000,0.000000,49
166,0.439956,1,1.141500,0.252500,0.486667,0.000000,0.000000,0.000000,58
