trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,0.303792,1,2.083492,-0.305000,0.540000,0.000000,0.000000,0.000000,1
1,0.669747,0,0.941123,-0.291250,0.477778,1.602359,0.302500,0.553333,54
2,0.345755,1,0.860987,-0.296250,0.544444,0.000000,0.000000,0.000000,55
3,0.143688,1,0.740932,-0.281250,0.524444,0.000000,0.000000,0.000000,60
4,0.145384,1,1.241551,-0.297500,0.508889,0.000000,0.000000,0.000000,35
5,0.295768,1,1.161503,0.301250,0.497778,0.000000,0.000000,0.000000,1
6,0.103904,1,0.740915,-0.297500,0.500000,0.000000,0.000000,0.000000,58
7,0.000217,0,0.040114,0.011250,-0.797778,0.040224,0.322500,0.528889,99
8,0.201747,-1,0.660819,-0.275000,0.557778,0.000000,0.000000,0.000000,61
9,0.049736,-1,0.841031,-0.287500,0.551111,0.000000,0.000000,0.000000,59
10,0.000223,0,0.700995,-0.316250,0.520000,0.981643,0.273750,0.584444,58
11,0.109740,1,0.921204,0.280000,0.480000,0.000000,0.000000,0.000000,1
12,2.467661,1,0.841113,-0.277500,0.506667,0.000000,0.000000,0.000000,57
13,0.461637,0,0.781048,-0.296250,0.528889,0.220396,0.286250,0.537778,55
14,0.453744,1,1.041285,0.303750,0.517778,0.000000,0.000000,0.000000,55
15,0.179745,1,1.321706,-0.288750,0.508889,0.000000,0.000000,0.000000,53
16,0.349754,1,0.981193,0.278750,0.486667,0.000000,0.000000,0.000000,54
17,0.345731,1,0.881193,0.291250,0.528889,0.000000,0.000000,0.000000,4
18,0.343832,1,0.981296,-0.276250,0.495556,0.000000,0.000000,0.000000,55
19,0.379714,1,0.981223,-0.281250,0.533333,0.000000,0.000000,0.000000,56
20,0.435713,-1,0.740933,-0.313750,0.573333,0.000000,0.000000,0.000000,43
21,0.283834,1,0.941210,-0.281250,0.475556,0.000000,0.000000,0.000000,55
22,0.339705,1,0.941152,-0.283750,0.531111,0.000000,0.000000,0.000000,58
23,0.273910,1,0.921104,0.276250,0.482222,0.000000,0.000000,0.000000,57
24,0.439687,1,1.161379,0.283750,0.533333,0.000000,0.000000,0.000000,55
25,0.414259,1,0.861166,0.307500,0.517778,0.000000,0.000000,0.000000,33
26,0.611693,0,0.901167,0.335000,0.502222,1.201552,-0.280000,0.486667,51
27,0.441685,1,1.061346,-0.310000,0.528889,0.000000,0.000000,0.000000,51
28,0.493906,1,1.001263,-0.305000,0.495556,0.000000,0.000000,0.000000,52
29,0.474485,1,1.001323,-0.265000,0.500000,0.000000,0.000000,0.000000,58
30,0.265686,1,0.961180,0.266250,0.495556,0.000000,0.000000,0.000000,30
31,0.489690,0,1.321549,0.277500,0.486667,0.400726,-0.291250,0.502222,53
32,1.771642,1,0.740971,0.282500,0.488889,0.000000,0.000000,0.000000,12
33,0.275685,1,0.961182,-0.281250,0.502222,0.000000,0.000000,0.000000,55
34,0.299625,1,1.241488,0.312500,0.457778,0.000000,0.000000,0.000000,47
35,0.519591,0,1.141376,-0.273750,0.511111,0.240365,0.312500,0.497778,56
36,0.265655,0,0.981186,-0.271250,0.522222,0.020099,0.298750,0.520000,59
37,0.453494,1,1.081374,0.300000,0.540000,0.000000,0.000000,0.000000,55
38,0.891695,1,1.141375,0.306250,0.513333,0.000000,0.000000,0.000000,50
39,0.665642,1,1.081294,-0.302500,0.506667,0.000000,0.000000,0.000000,53
40,0.295674,1,0.981225,-0.333750,0.533333,0.000000,0.000000,0.000000,1
41,0.393650,-1,1.041238,0.291250,0.551111,0.000000,0.000000,0.000000,58
42,0.127651,1,1.081320,0.292500,0.500000,0.000000,0.000000,0.000000,52
43,0.551642,1,1.201420,-0.258750,0.517778,0.000000,0.000000,0.000000,27
44,0.353833,1,1.401647,0.313750,0.484444,0.000000,0.000000,0.000000,49
45,0.243700,1,1.061325,-0.253750,0.500000,0.000000,0.000000,0.000000,59
46,0.413628,1,1.241522,-0.326250,0.531111,0.000000,0.000000,0.000000,49
47,0.531659,1,1.321495,-0.286250,0.491111,0.000000,0.000000,0.000000,51
48,0.519656,1,1.521849,0.311250,0.502222,0.000000,0.000000,0.000000,48
49,0.341649,1,0.901152,-0.275000,0.486667,0.000000,0.000000,0.000000,60
50,0.475631,1,1.121310,0.325000,0.513333,0.000000,0.000000,0.000000,49
51,0.291633,1,0.901078,0.290000,0.515556,0.000000,0.000000,0.000000,55
52,0.257635,1,1.842314,-0.320000,0.506667,0.000000,0.000000,0.000000,44
53,0.467613,1,1.301559,-0.288750,0.526667,0.000000,0.000000,0.000000,52
54,0.309613,1,1.021169,-0.291250,0.475556,0.000000,0.000000,0.000000,55
55,0.267635,1,1.021243,0.298750,0.520000,0.000000,0.000000,0.000000,54
56,0.427642,1,1.161412,0.273750,0.537778,0.000000,0.000000,0.000000,58
57,0.261624,1,0.981215,0.308750,0.531111,0.000000,0.000000,0.000000,55
58,0.243789,1,1.121407,0.315000,0.488889,0.000000,0.000000,0.000000,50
59,0.167608,1,1.021183,0.282500,0.531111,0.000000,0.000000,0.000000,57
60,0.333625,1,0.961258,-0.258750,0.506667,0.000000,0.000000,0.000000,60
61,0.539563,1,1.021226,0.307500,0.491111,0.000000,0.000000,0.000000,53
62,0.177636,1,0.881128,-0.320000,0.484444,0.000000,0.000000,0.000000,52
63,0.000497,1,1.021227,0.286250,0.495556,0.000000,0.000000,0.000000,54
64,0.227596,1,0.901081,0.325000,0.517778,0.000000,0.000000,0.000000,54
65,0.201585,1,0.881108,0.300000,0.533333,0.000000,0.000000,0.000000,57
66,0.117624,1,1.141384,0.316250,0.522222,0.000000,0.000000,0.000000,52
67,0.421589,0,1.001235,0.295000,0.493333,1.041373,-0.320000,0.502222,46
68,0.439588,1,1.041385,-0.293750,0.502222,0.000000,0.000000,0.000000,54
69,0.391591,1,0.921072,-0.335000,0.477778,0.000000,0.000000,0.000000,49
70,0.439573,1,1.341649,0.305000,0.508889,0.000000,0.000000,0.000000,53
71,0.605592,1,1.061341,-0.291250,0.517778,0.000000,0.000000,0.000000,55
72,0.415547,1,1.001220,-0.302500,0.504444,0.000000,0.000000,0.000000,55
73,0.195518,1,1.221502,-0.277500,0.495556,0.000000,0.000000,0.000000,52
74,0.409597,1,1.261543,0.313750,0.508889,0.000000,0.000000,0.000000,52
75,0.299554,1,1.001262,-0.307500,0.548889,0.000000,0.000000,0.000000,52
76,0.557565,1,1.081276,0.316250,0.515556,0.000000,0.000000,0.000000,53
77,0.075578,1,0.720900,-0.290000,0.493333,0.000000,0.000000,0.000000,57
78,0.141518,1,1.121382,0.272500,0.515556,0.000000,0.000000,0.000000,54
79,0.297559,-1,1.301585,0.251250,0.531111,0.000000,0.000000,0.000000,1
80,0.455469,1,1.041245,-0.276250,0.488889,0.000000,0.000000,0.000000,54
81,0.229582,1,1.822429,0.285000,0.500000,0.000000,0.000000,0.000000,1
82,0.267573,0,1.141514,-0.326250,0.495556,0.601126,0.272500,0.491111,50
83,0.219482,0,1.601883,-0.276250,0.488889,0.500684,0.291250,0.497778,48
84,0.157451,1,1.622004,0.327500,0.475556,0.000000,0.000000,0.000000,42
85,0.273569,1,1.121321,-0.265000,0.502222,0.000000,0.000000,0.000000,59
86,0.169595,1,1.241411,0.325000,0.517778,0.000000,0.000000,0.000000,49
87,0.161555,1,1.241543,-0.270000,0.484444,0.000000,0.000000,0.000000,56
88,0.265560,1,1.001198,-0.293750,0.495556,0.000000,0.000000,0.000000,52
89,0.223672,1,1.221490,-0.296250,0.504444,0.000000,0.000000,0.000000,49
90,0.125539,1,1.261507,-0.300000,0.513333,0.000000,0.000000,0.000000,52
91,0.159504,1,1.001212,0.310000,0.513333,0.000000,0.000000,0.000000,55
92,0.027411,1,1.281487,-0.282500,0.504444,0.000000,0.000000,0.000000,54
93,0.055522,1,1.001172,-0.316250,0.495556,0.000000,0.000000,0.000000,52
94,0.299538,1,1.041262,-0.301250,0.486667,0.000000,0.000000,0.000000,52
95,0.165480,1,0.861060,-0.330000,0.500000,0.000000,0.000000,0.000000,54
96,0.215516,0,0.020090,-0.026250,-0.780000,0.380999,0.291250,0.555556,99
97,0.245505,1,1.021336,0.277500,0.475556,0.000000,0.000000,0.000000,54
98,0.273537,1,1.101376,-0.326250,0.495556,0.000000,0.000000,0.000000,49
99,0.211492,1,1.001450,0.318750,0.468889,0.000000,0.000000,0.000000,52
100,0.201452,1,0.861143,-0.293750,0.473333,0.000000,0.000000,0.000000,56
101,0.289514,1,0.840962,-0.300000,0.522222,0.000000,0.000000,0.000000,55
102,0.000226,1,0.861140,0.312500,0.475556,0.000000,0.000000,0.000000,51
103,0.121504,1,0.821013,0.335000,0.493333,0.000000,0.000000,0.000000,52
104,0.263458,1,1.241452,-0.310000,0.497778,0.000000,0.000000,0.000000,52
105,0.297466,1,0.901103,-0.273750,0.482222,0.000000,0.000000,0.000000,59
106,0.000219,1,1.261623,0.335000,0.508889,0.000000,0.000000,0.000000,1
107,0.033496,1,0.861034,-0.333750,0.502222,0.000000,0.000000,0.000000,52
108,0.141517,1,1.181757,0.312500,0.517778,0.000000,0.000000,0.000000,50
109,0.257499,1,0.941134,-0.298750,0.502222,0.000000,0.000000,0.000000,56
110,0.197498,1,0.941179,0.288750,0.500000,0.000000,0.000000,0.000000,55
111,0.295510,-1,0.981188,0.317500,0.551111,0.000000,0.000000,0.000000,30
112,0.233484,1,0.901081,-0.287500,0.504444,0.000000,0.000000,0.000000,59
113,0.347490,1,1.301616,0.336250,0.511111,0.000000,0.000000,0.000000,1
114,0.169451,1,1.321638,-0.311250,0.475556,0.000000,0.000000,0.000000,48
115,0.321502,1,1.321575,0.268750,0.497778,0.000000,0.000000,0.000000,55
116,0.291431,0,1.261540,-0.282500,0.500000,0.580774,0.275000,0.484444,52
117,0.055422,1,1.061277,-0.301250,0.535556,0.000000,0.000000,0.000000,54
118,0.359476,0,0.821055,-0.336250,0.524444,0.421253,0.263750,0.504444,49
119,0.307403,1,1.381711,0.306250,0.535556,0.000000,0.000000,0.000000,50
120,0.325474,1,0.941169,0.287500,0.526667,0.000000,0.000000,0.000000,57
121,0.285447,1,1.181434,0.278750,0.497778,0.000000,0.000000,0.000000,1
122,1.605387,-1,0.700889,-0.268750,0.557778,0.000000,0.000000,0.000000,63
123,0.297439,1,0.881090,0.332500,0.506667,0.000000,0.000000,0.000000,50
124,0.233461,1,1.561877,0.286250,0.486667,0.000000,0.000000,0.000000,49
125,0.251424,1,1.401718,0.301250,0.486667,0.000000,0.000000,0.000000,49
126,0.379437,1,1.041461,-0.320000,0.524444,0.000000,0.000000,0.000000,51
127,0.229473,0,1.061308,0.301250,0.522222,0.020072,-0.271250,0.480000,54
128,0.249420,1,1.242043,0.296250,0.517778,0.000000,0.000000,0.000000,51
129,0.413442,1,1.141396,-0.278750,0.486667,0.000000,0.000000,0.000000,20
