trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,1.435359,0,1.101582,-0.298750,0.477778,2.723114,0.308750,0.495556,50
1,0.059354,1,1.161445,-0.285000,0.508889,0.000000,0.000000,0.000000,55
2,0.375336,-1,0.881081,-0.281250,0.548889,0.000000,0.000000,0.000000,58
3,0.559311,1,1.141314,0.281250,0.482222,0.000000,0.000000,0.000000,11
4,0.335361,1,1.081265,-0.288750,0.480000,0.000000,0.000000,0.000000,54
5,0.409365,0,1.001282,0.286250,0.517778,0.861083,-0.280000,0.491111,55
6,0.513299,0,1.321595,-0.272500,0.506667,0.540698,0.301250,0.500000,38
7,0.125315,0,1.361579,0.293750,0.504444,0.340432,-0.277500,0.480000,50
8,0.397314,1,1.081677,0.306250,0.537778,0.000000,0.000000,0.000000,54
9,0.437311,1,1.181449,-0.281250,0.506667,0.000000,0.000000,0.000000,49
10,0.457330,1,1.342164,-0.305000,0.486667,0.000000,0.000000,0.000000,49
11,0.467306,1,1.181441,0.280000,0.520000,0.000000,0.000000,0.000000,54
12,0.259258,0,1.201448,0.293750,0.486667,0.340429,-0.313750,0.473333,53
13,0.327313,1,1.061423,0.311250,0.480000,0.000000,0.000000,0.000000,50
14,0.317324,1,0.901060,0.273750,0.500000,0.000000,0.000000,0.000000,59
15,0.387304,1,1.061309,0.283750,0.508889,0.000000,0.000000,0.000000,55
16,0.353255,1,1.181464,-0.318750,0.513333,0.000000,0.000000,0.000000,1
17,0.427301,1,1.281567,0.281250,0.500000,0.000000,0.000000,0.000000,53
18,0.295305,1,0.901104,-0.292500,0.528889,0.000000,0.000000,0.000000,56
19,0.195304,1,1.081321,-0.297500,0.477778,0.000000,0.000000,0.000000,52
20,0.000212,1,1.061348,-0.311250,0.460000,0.000000,0.000000,0.000000,51
21,0.000203,0,1.261801,-0.293750,0.473333,0.941150,0.281250,0.484444,50
22,0.323255,1,1.081254,0.270000,0.526667,0.000000,0.000000,0.000000,56
23,0.431244,1,1.121278,0.310000,0.528889,0.000000,0.000000,0.000000,53
24,0.187270,1,1.081268,0.305000,0.504444,0.000000,0.000000,0.000000,52
25,0.219283,1,1.041622,-0.308750,0.477778,0.000000,0.000000,0.000000,52
26,0.403242,1,0.941438,0.300000,0.495556,0.000000,0.000000,0.000000,52
27,0.165279,1,0.921137,0.328750,0.477778,0.000000,0.000000,0.000000,51
28,0.183254,1,1.041606,0.292500,0.528889,0.000000,0.000000,0.000000,55
29,0.221275,1,1.001243,-0.262500,0.500000,0.000000,0.000000,0.000000,57
30,0.405216,1,0.861039,0.290000,0.500000,0.000000,0.000000,0.000000,57
31,0.189252,0,1.001219,-0.262500,0.497778,1.141418,0.310000,0.506667,57
32,0.201248,1,1.201704,-0.318750,0.482222,0.000000,0.000000,0.000000,51
33,0.397282,-1,0.821005,-0.313750,0.553333,0.000000,0.000000,0.000000,55
34,0.275207,1,1.361948,0.273750,0.508889,0.000000,0.000000,0.000000,1
35,0.425229,1,1.361625,0.290000,0.506667,0.000000,0.000000,0.000000,50
36,0.171223,1,1.021255,-0.311250,0.495556,0.000000,0.000000,0.000000,52
37,0.157235,1,1.181322,0.300000,0.471111,0.000000,0.000000,0.000000,50
38,0.369232,1,1.221490,-0.277500,0.477778,0.000000,0.000000,0.000000,54
39,0.337199,1,1.381685,0.288750,0.502222,0.000000,0.000000,0.000000,42
40,0.453224,1,1.121389,0.307500,0.506667,0.000000,0.000000,0.000000,50
41,0.289166,1,1.061325,0.302500,0.471111,0.000000,0.000000,0.000000,52
42,0.217206,1,1.021293,-0.278750,0.475556,0.000000,0.000000,0.000000,56
43,0.165177,1,0.941253,0.313750,0.466667,0.000000,0.000000,0.000000,52
44,0.295175,1,1.161403,-0.298750,0.480000,0.000000,0.000000,0.000000,51
45,0.109203,1,1.261953,0.300000,0.511111,0.000000,0.000000,0.000000,53
46,0.031212,1,0.881008,-0.278750,0.457778,0.000000,0.000000,0.000000,56
47,0.000205,1,0.901152,0.292500,0.500000,0.000000,0.000000,0.000000,54
48,0.019206,1,1.121302,-0.275000,0.504444,0.000000,0.000000,0.000000,20
49,0.031177,1,1.101308,-0.322500,0.484444,0.000000,0.000000,0.000000,49
50,0.000205,0,1.242300,0.282500,0.482222,1.401748,-0.292500,0.477778,53
51,0.113154,1,1.281555,0.308750,0.495556,0.000000,0.000000,0.000000,31
52,0.057163,1,1.162131,0.296250,0.500000,0.000000,0.000000,0.000000,53
53,0.000205,1,0.821093,-0.282500,0.520000,0.000000,0.000000,0.000000,60
54,0.000205,1,0.941111,-0.298750,0.520000,0.000000,0.000000,0.000000,54
55,0.181155,1,0.941233,0.290000,0.468889,0.000000,0.000000,0.000000,56
56,0.191152,1,0.981213,-0.293750,0.495556,0.000000,0.000000,0.000000,55
57,0.099224,1,1.161450,-0.318750,0.488889,0.000000,0.000000,0.000000,49
58,0.000202,1,1.021552,-0.306250,0.533333,0.000000,0.000000,0.000000,53
59,0.073141,0,0.801053,0.292500,0.517778,0.560688,-0.300000,0.486667,59
60,0.161150,1,0.881036,-0.275000,0.504444,0.000000,0.000000,0.000000,56
61,0.000215,0,0.841003,0.293750,0.486667,0.500661,-0.346250,0.488889,55
62,0.059176,1,1.161366,-0.293750,0.477778,0.000000,0.000000,0.000000,52
63,0.000204,1,0.941126,0.293750,0.515556,0.000000,0.000000,0.000000,54
64,0.175153,1,1.241522,0.316250,0.491111,0.000000,0.000000,0.000000,48
65,0.195133,1,1.441777,0.296250,0.520000,0.000000,0.000000,0.000000,31
66,0.453132,1,1.341667,-0.280000,0.504444,0.000000,0.000000,0.000000,55
67,0.421091,1,1.241482,-0.301250,0.488889,0.000000,0.000000,0.000000,50
68,0.019158,1,1.021217,0.287500,0.495556,0.000000,0.000000,0.000000,38
69,0.021144,1,0.981236,0.295000,0.504444,0.000000,0.000000,0.000000,54
70,0.063129,0,1.822252,-0.276250,0.482222,0.961220,0.282500,0.473333,1
71,0.125129,0,1.461955,0.312500,0.504444,0.580726,-0.317500,0.477778,24
72,0.057095,1,1.221568,0.290000,0.482222,0.000000,0.000000,0.000000,54
73,0.145127,1,1.461861,-0.298750,0.488889,0.000000,0.000000,0.000000,50
