trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,0.000237,0,3.000009,-0.293750,0.504444,0.240420,-0.277500,0.504444,1
1,0.223214,0,1.081873,-0.293750,0.497778,0.541008,0.273750,0.517778,31
2,0.099185,1,1.162200,0.287500,0.520000,0.000000,0.000000,0.000000,1
3,0.451215,1,1.441704,0.298750,0.508889,0.000000,0.000000,0.000000,1
4,0.441163,0,1.022127,-0.275000,0.466667,0.220436,0.296250,0.502222,20
5,0.313204,0,1.301885,-0.311250,0.520000,0.020153,0.316250,0.542222,49
6,0.351183,1,0.781498,0.298750,0.504444,0.000000,0.000000,0.000000,27
7,0.207181,1,2.323805,-0.321250,0.515556,0.000000,0.000000,0.000000,1
8,0.717211,1,1.121604,-0.308750,0.502222,0.000000,0.000000,0.000000,51
9,0.231149,1,0.861004,0.288750,0.515556,0.000000,0.000000,0.000000,1
10,0.000218,1,0.701423,0.302500,0.506667,0.000000,0.000000,0.000000,57
11,0.221185,1,0.781629,-0.326250,0.542222,0.000000,0.000000,0.000000,54
12,0.391140,1,0.781692,0.275000,0.537778,0.000000,0.000000,0.000000,1
13,0.231232,1,0.661428,-0.276250,0.486667,0.000000,0.000000,0.000000,59
14,0.333174,1,0.901670,0.298750,0.500000,0.000000,0.000000,0.000000,1
15,0.000221,-1,0.841085,-0.350000,0.511111,0.000000,0.000000,0.000000,1
16,0.373168,1,0.921415,0.281250,0.517778,0.000000,0.000000,0.000000,1
17,0.735069,1,0.681110,-0.288750,0.511111,0.000000,0.000000,0.000000,45
18,0.401120,1,1.201540,0.305000,0.491111,0.000000,0.000000,0.000000,1
19,0.475128,1,0.721194,-0.317500,0.500000,0.000000,0.000000,0.000000,57
20,0.307173,0,0.560720,0.302500,0.504444,0.620818,-0.320000,0.464444,62
21,0.203155,1,0.761496,-0.290000,0.520000,0.000000,0.000000,0.000000,57
22,0.153122,1,0.661156,-0.300000,0.500000,0.000000,0.000000,0.000000,57
