trialCt,rt1,accuracy,rt2,pos_x,pos_y,rt3,pos_x,pos_y,score
0,1.111890,1,1.421902,-0.315000,0.524444,0.000000,0.000000,0.000000,49
1,0.317994,0,0.961292,0.292500,0.517778,0.320437,-0.293750,0.482222,56
2,0.285896,1,1.001240,-0.291250,0.480000,0.000000,0.000000,0.000000,54
3,0.345940,1,1.162135,-0.288750,0.484444,0.000000,0.000000,0.000000,53
4,0.370056,1,1.321607,-0.292500,0.462222,0.000000,0.000000,0.000000,49
5,0.370050,1,1.121299,-0.318750,0.504444,0.000000,0.000000,0.000000,50
6,0.377999,1,1.401636,-0.293750,0.546667,0.000000,0.000000,0.000000,50
7,0.280019,1,1.621869,0.291250,0.517778,0.000000,0.000000,0.000000,48
8,0.362004,1,1.261749,0.302500,0.511111,0.000000,0.000000,0.000000,51
9,0.354007,1,1.141519,-0.285000,0.497778,0.000000,0.000000,0.000000,55
10,0.367971,1,1.221690,0.296250,0.473333,0.000000,0.000000,0.000000,50
11,0.290056,1,1.201673,0.295000,0.513333,0.000000,0.000000,0.000000,53
12,0.407914,1,1.822314,-0.310000,0.475556,0.000000,0.000000,0.000000,45
13,0.341938,1,0.961137,0.311250,0.526667,0.000000,0.000000,0.000000,53
14,0.303987,1,1.161644,0.301250,0.468889,0.000000,0.000000,0.000000,50
15,0.341951,1,1.421887,0.277500,0.471111,0.000000,0.000000,0.000000,51
16,0.337912,1,1.401648,0.300000,0.493333,0.000000,0.000000,0.000000,48
17,0.301960,1,1.241759,0.310000,0.528889,0.000000,0.000000,0.000000,50
18,0.367949,0,1.982852,0.268750,0.533333,0.921179,-0.306250,0.475556,4
19,0.361971,1,1.041634,0.320000,0.524444,0.000000,0.000000,0.000000,52
20,0.341959,1,1.161563,0.305000,0.524444,0.000000,0.000000,0.000000,51
21,0.505955,1,1.341637,-0.283750,0.533333,0.000000,0.000000,0.000000,54
22,0.295961,1,1.582446,-0.308750,0.502222,0.000000,0.000000,0.000000,48
23,0.403939,1,0.941089,-0.292500,0.517778,0.000000,0.000000,0.000000,57
24,0.393860,1,1.182044,-0.312500,0.500000,0.000000,0.000000,0.000000,49
25,0.465937,1,0.901122,0.282500,0.482222,0.000000,0.000000,0.000000,57
26,0.257938,1,1.421923,0.267500,0.484444,0.000000,0.000000,0.000000,52
27,0.260016,0,1.221494,-0.313750,0.506667,0.400630,0.270000,0.535556,51
28,0.381920,1,1.141437,-0.333750,0.513333,0.000000,0.000000,0.000000,51
29,0.345948,1,1.742142,0.325000,0.500000,0.000000,0.000000,0.000000,43
30,0.375985,1,1.121678,-0.302500,0.533333,0.000000,0.000000,0.000000,54
31,0.400033,0,1.261519,0.265000,0.531111,0.340429,-0.275000,0.484444,57
32,0.479974,1,1.221673,-0.323750,0.533333,0.000000,0.000000,0.000000,50
33,0.351868,1,1.081326,0.282500,0.531111,0.000000,0.000000,0.000000,55
34,0.383879,1,1.121642,-0.300000,0.464444,0.000000,0.000000,0.000000,52
35,0.617935,1,1.201607,0.288750,0.546667,0.000000,0.000000,0.000000,53
36,0.189949,0,0.780945,-0.326250,0.500000,0.540612,0.280000,0.488889,54
37,0.349897,1,1.141343,0.292500,0.480000,0.000000,0.000000,0.000000,53
38,0.399983,1,2.123051,-0.276250,0.460000,0.000000,0.000000,0.000000,1
39,0.441893,1,1.381709,0.283750,0.515556,0.000000,0.000000,0.000000,51
40,0.507896,1,1.522114,-0.308750,0.522222,0.000000,0.000000,0.000000,48
41,0.439925,1,1.241445,-0.312500,0.500000,0.000000,0.000000,0.000000,51
42,0.235907,0,1.341874,-0.311250,0.488889,0.200302,0.230000,0.528889,49
43,0.351854,1,1.742284,0.298750,0.520000,0.000000,0.000000,0.000000,46
44,0.413901,0,1.802860,-0.301250,0.457778,1.101787,0.292500,0.517778,21
45,0.263904,1,1.542082,-0.302500,0.484444,0.000000,0.000000,0.000000,47
46,0.283879,1,1.001214,0.310000,0.506667,0.000000,0.000000,0.000000,52
47,0.473870,1,1.001352,0.293750,0.500000,0.000000,0.000000,0.000000,56
48,0.207890,1,1.702037,0.260000,0.502222,0.000000,0.000000,0.000000,52
49,0.371888,1,1.461853,-0.335000,0.488889,0.000000,0.000000,0.000000,43
50,0.361879,-1,1.762814,0.272500,0.542222,0.000000,0.000000,0.000000,51
51,0.453830,1,1.762372,0.346250,0.515556,0.000000,0.000000,0.000000,40
52,0.387863,1,1.842463,-0.295000,0.488889,0.000000,0.000000,0.000000,29
53,0.723848,1,1.922430,-0.311250,0.508889,0.000000,0.000000,0.000000,44
54,0.311865,1,1.281757,-0.283750,0.528889,0.000000,0.000000,0.000000,55
55,0.513835,1,1.522002,-0.317500,0.511111,0.000000,0.000000,0.000000,48
56,0.391849,1,1.101800,-0.315000,0.504444,0.000000,0.000000,0.000000,53
57,0.179855,1,1.021200,0.300000,0.497778,0.000000,0.000000,0.000000,53
58,0.333888,1,0.961137,-0.291250,0.508889,0.000000,0.000000,0.000000,55
59,0.055843,1,1.682650,-0.298750,0.506667,0.000000,0.000000,0.000000,22
60,0.289845,1,1.882169,-0.310000,0.502222,0.000000,0.000000,0.000000,43
61,0.355819,0,2.903237,0.282500,0.513333,0.720901,-0.281250,0.491111,38
62,0.193849,1,1.181606,0.327500,0.524444,0.000000,0.000000,0.000000,50
63,0.347862,1,1.261507,0.332500,0.513333,0.000000,0.000000,0.000000,45
64,0.613821,1,1.742687,-0.297500,0.502222,0.000000,0.000000,0.000000,47
65,0.725823,1,1.842421,-0.305000,0.491111,0.000000,0.000000,0.000000,45
66,0.217804,1,1.221523,-0.321250,0.486667,0.000000,0.000000,0.000000,47
67,0.289825,1,1.301795,0.288750,0.517778,0.000000,0.000000,0.000000,52
68,0.431764,1,1.361867,0.307500,0.495556,0.000000,0.000000,0.000000,49
69,0.167755,1,1.481889,0.323750,0.493333,0.000000,0.000000,0.000000,44
70,0.483856,-1,1.221448,0.318750,0.551111,0.000000,0.000000,0.000000,49
71,0.353700,1,1.702263,0.317500,0.502222,0.000000,0.000000,0.000000,44
72,0.165832,0,3.000013,-0.110000,-0.271111,0.080234,-0.303750,0.551111,38
73,0.185779,1,1.342022,-0.301250,0.504444,0.000000,0.000000,0.000000,49
74,0.417851,0,1.361547,0.286250,0.522222,0.060137,-0.288750,0.495556,44
75,0.401851,1,0.941268,0.268750,0.486667,0.000000,0.000000,0.000000,58
76,0.415790,1,1.562162,0.273750,0.535556,0.000000,0.000000,0.000000,50
77,0.449804,1,1.282122,0.262500,0.502222,0.000000,0.000000,0.000000,56
78,0.347723,1,1.121405,-0.326250,0.517778,0.000000,0.000000,0.000000,49
79,0.289734,1,1.461755,0.281250,0.495556,0.000000,0.000000,0.000000,51
80,0.201832,-1,1.061231,-0.293750,0.573333,0.000000,0.000000,0.000000,56
81,0.271813,1,1.081384,-0.302500,0.508889,0.000000,0.000000,0.000000,52
82,0.347804,1,1.521823,0.280000,0.540000,0.000000,0.000000,0.000000,8
83,0.529775,1,1.201698,0.285000,0.495556,0.000000,0.000000,0.000000,53
84,0.197734,1,1.482332,-0.285000,0.508889,0.000000,0.000000,0.000000,15
85,0.383747,1,1.381809,0.307500,0.495556,0.000000,0.000000,0.000000,49
86,0.141797,1,1.342133,-0.293750,0.502222,0.000000,0.000000,0.000000,51
87,0.409845,1,1.261443,0.303750,0.508889,0.000000,0.000000,0.000000,51
88,0.431786,1,1.541763,-0.281250,0.511111,0.000000,0.000000,0.000000,51
89,0.155654,1,1.341520,-0.275000,0.502222,0.000000,0.000000,0.000000,54
90,0.221801,1,1.361900,0.282500,0.520000,0.000000,0.000000,0.000000,52
91,0.381744,1,1.301696,0.302500,0.508889,0.000000,0.000000,0.000000,49
92,0.433729,1,1.702272,-0.300000,0.508889,0.000000,0.000000,0.000000,47
93,0.371780,1,1.201460,-0.300000,0.491111,0.000000,0.000000,0.000000,51
94,0.297807,0,1.321821,-0.301250,0.484444,0.360553,0.275000,0.508889,51
95,0.309723,1,1.041492,0.307500,0.484444,0.000000,0.000000,0.000000,51
96,0.333750,1,0.961219,0.285000,0.482222,0.000000,0.000000,0.000000,54
97,0.343758,1,1.521952,-0.262500,0.484444,0.000000,0.000000,0.000000,53
98,1.711694,1,0.961823,-0.282500,0.535556,0.000000,0.000000,0.000000,60
99,0.405734,0,1.942508,-0.292500,0.524444,0.360594,0.291250,0.522222,46
100,0.293752,0,1.382524,0.313750,0.486667,0.300427,-0.272500,0.522222,48
101,0.321711,1,1.782084,-0.296250,0.526667,0.000000,0.000000,0.000000,47
102,0.341776,1,1.462276,-0.295000,0.475556,0.000000,0.000000,0.000000,48
103,0.000220,1,1.441770,-0.283750,0.542222,0.000000,0.000000,0.000000,54
104,0.493719,1,1.481963,0.290000,0.477778,0.000000,0.000000,0.000000,49
105,0.431763,1,1.802469,0.288750,0.477778,0.000000,0.000000,0.000000,47
106,0.341729,1,1.241915,-0.298750,0.488889,0.000000,0.000000,0.000000,52
107,0.283731,1,1.461979,0.301250,0.537778,0.000000,0.000000,0.000000,49
108,0.405756,1,1.281627,0.313750,0.480000,0.000000,0.000000,0.000000,48
109,0.293706,1,1.181587,-0.260000,0.506667,0.000000,0.000000,0.000000,55
110,0.205681,1,1.902209,0.306250,0.473333,0.000000,0.000000,0.000000,41
111,0.641671,-1,1.321485,0.282500,0.551111,0.000000,0.000000,0.000000,53
112,0.331677,1,0.941432,0.286250,0.526667,0.000000,0.000000,0.000000,57
113,0.365705,1,2.122661,0.291250,0.495556,0.000000,0.000000,0.000000,43
114,0.331678,0,1.181480,-0.262500,0.486667,0.240445,0.285000,0.497778,58
115,0.153669,1,0.821092,0.306250,0.473333,0.000000,0.000000,0.000000,53
116,0.249699,1,1.001221,-0.287500,0.464444,0.000000,0.000000,0.000000,54
117,0.309696,0,1.161487,0.298750,0.488889,0.300792,-0.291250,0.477778,51
118,0.251656,1,1.281869,-0.303750,0.491111,0.000000,0.000000,0.000000,50
119,0.285610,1,1.381865,0.296250,0.473333,0.000000,0.000000,0.000000,49
120,0.267697,1,1.882473,-0.298750,0.486667,0.000000,0.000000,0.000000,46
121,0.423736,1,0.921131,0.281250,0.495556,0.000000,0.000000,0.000000,55
122,0.543682,1,1.422539,-0.257500,0.511111,0.000000,0.000000,0.000000,56
123,0.333697,1,1.582121,0.293750,0.511111,0.000000,0.000000,0.000000,48
124,0.395674,1,2.442735,-0.280000,0.468889,0.000000,0.000000,0.000000,40
125,0.343663,1,1.702295,0.303750,0.486667,0.000000,0.000000,0.000000,46
126,0.281683,1,1.121392,0.335000,0.517778,0.000000,0.000000,0.000000,49
127,0.315595,1,1.001404,-0.301250,0.508889,0.000000,0.000000,0.000000,54
128,0.471672,-1,1.422018,-0.360000,0.308889,0.000000,0.000000,0.000000,36
129,0.543289,1,1.141632,0.318750,0.524444,0.000000,0.000000,0.000000,49
130,0.381642,-1,2.042695,0.271250,0.542222,0.000000,0.000000,0.000000,1
131,0.417647,1,1.161734,0.301250,0.517778,0.000000,0.000000,0.000000,0
132,0.803700,1,1.341989,-0.282500,0.495556,0.000000,0.000000,0.000000,53
133,0.467660,1,1.482088,-0.293750,0.502222,0.000000,0.000000,0.000000,1
134,0.355635,1,1.902875,-0.305000,0.471111,0.000000,0.000000,0.000000,44
135,0.359603,1,1.141966,0.301250,0.468889,0.000000,0.000000,0.000000,51
136,0.411625,1,1.081494,-0.287500,0.473333,0.000000,0.000000,0.000000,54
137,0.411678,1,1.302149,-0.296250,0.535556,0.000000,0.000000,0.000000,52
138,0.403646,1,1.182018,0.298750,0.475556,0.000000,0.000000,0.000000,52
139,0.427628,0,2.443211,-0.305000,0.495556,0.220287,0.285000,0.517778,37
140,0.355624,0,1.501837,0.277500,0.502222,0.220439,-0.296250,0.526667,50
141,0.255617,1,1.542116,0.296250,0.480000,0.000000,0.000000,0.000000,47
142,0.295568,1,1.182173,-0.295000,0.544444,0.000000,0.000000,0.000000,52
143,0.179582,1,1.081649,-0.308750,0.520000,0.000000,0.000000,0.000000,51
144,0.275612,1,1.461746,-0.315000,0.517778,0.000000,0.000000,0.000000,47
145,0.305606,1,1.461981,-0.281250,0.533333,0.000000,0.000000,0.000000,50
146,0.303618,1,1.421923,0.282500,0.480000,0.000000,0.000000,0.000000,51
